"Campaign","uniqueid","date","HHMMSS","Obs","StmRat","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_S","Flow","PARi","Press","CsMch","HsMch","Photo","Trans","CndTotal","BLCond","Cond","CndCO2","Ci","Ci_Pa","variable","parameter","unit","level","leaf.area.missing","tree","YYYYMMDD","DOY","EBal.","Area","RH_R","PARo","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","n","FTime","CsMchSD","HsMchSD","CrMchSD","HrMchSD","BLC_1","fda","Tair_K","Twall_K","R.W.m2.","Tl.Ta","CTleaf","SVTleaf","h2o_i","h2odiff","CTair","SVTair","vp_kPa","VpdA","Ci.Ca","RHsfc","C2sfc","AHs.Cs","Trmmol","VpdL","time","elapsed","TIME","Ca","Pca","Rabs","TleafEB","TleafCnd","SVPleaf","VPcham","SVPcham","VPDL","LatHFlux","SenHFlux","NetTherm","EBSum","Leak","LeakPct","CorrFact","CorrFactPct","Fan","DarkAdaptedID","Fo","Fm","Fv","Fv.Fm","Adark","LightAdaptedID","Fs","Fm.","PhiPS2","PS2.1","Qabs_fs","Afs","ETR","Fv..Fm.","PhiCO2","NPQ","DarkPulseID","Fo.","Fv.","qP","qN","qP_Fo","qN_Fo","ID","P1_dur","P2_dur","P3_dur","P1_Qmax","P1_Fmax","P2_dQdt","P3_ΔF","Qabs","alpha","convert","chamber_leaf_area","Geometry","Custom","TIME.1","CO2_a","H2O_a","ΔPcham","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","F_avg","dF.dt","dF_dc.dt","F_dc_avg","period","time.1","hhmmss.1","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_at","h2o_at","co2_cv","h2o_cv","CO2_s.MN","CO2_s.SLP","CO2_s.SD","CO2_s.OK","F.MN","F.SLP","F.SD","F.OK","H2O_s.MN","H2O_s.SLP","H2O_s.SD","H2O_s.OK","Stable","Total","State","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","DIAG","Flow_s","Flow_r","Tirga","Tchopper","Ts","Tr","CO2_.","Desiccant_.","Humidifier_.","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","X","Species","ΔCO2.MN","ΔCO2.SLP","ΔCO2.SD","ΔCO2.OK","ΔH2O.MN","ΔH2O.SLP","ΔH2O.SD","ΔH2O.OK","binomial","leaf_id","Site","Date","Time","Initials","Taxon","Notes","Plot","DatePhoto","Tag","TimeStart","index","DateSampled","DateMeasured","Treatment","Chamber","Rep","curveID","Dataset","Latitude","Longitude","Elevation_m","Source","doi"
"RMBL_2016","062316-stm-vaoc4",NA,"33982.9",10.5,1,2.3,8.089,0.05,400.359,383.317,-5e-04,3.6881,37.3,301,1701,73.21,-5.37,0.0303,7.83746959775052,0.00185729756609262,0.165622050042848,2.84,0.175878891280996,0.10438889005919,302.139519399871,22.1196342152646,NA,NA,NA,NA,FALSE,NA,NA,NA,0,6,-0.005,5.9,1,-0.22,2.74,1,0,0.16,111115,15,627.65,NA,NA,NA,NA,1.42,0.501666666666667,281.239,275.45,272.16,1.65248267719594,8.089,1.08339948740307,14.7985177899614,11.1104177899614,5.1945,0.887800843761719,0.270005801,0.617795042761719,0.788223609939333,28.640861979361,379.591442268675,0.00591351088266213,1.85729756609262,0.813393686403071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CBT","2016-06-23",NA,NA,"Valeriana occidentalis","good",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"RMBL 2016",38.8812914,-106.9801427,2702,"Google Earth",NA
"RMBL_2016","062316-stm-vaoc4",NA,"34367",25.5,1,6.48,10.691,5.14,401.303,382.17,0.7229,4.7305,35.687,301,1700,73.22,-5.74,0.0205,8.82639151702468,0.00202003510947041,0.154874909544167,2.84,0.163807917429479,0.0975616216492189,284.795165559318,20.8527020222532,"Coolers:","Tblock","C",5,FALSE,NA,NA,NA,0,6,5.452,5.2,1,-0.22,2.74,1,0,0.16,111115,15,1011.95,NA,NA,NA,NA,1.42,0.501666666666667,283.841,279.63,272,1.7181420291758,10.691,1.29070053449655,17.6277046503216,12.8972046503216,8.5855,1.12052097079673,0.34636721,0.774153760796734,0.745205407642295,30.0434553003508,377.974356145076,0.00701569103468123,2.02003510947041,0.944333324496549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CBT","2016-06-23",NA,NA,"Valeriana occidentalis","good",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"RMBL 2016",38.8812914,-106.9801427,2702,"Google Earth",NA
"RMBL_2016","062316-stm-vaoc4",NA,"34668.5",40.5,1,10.574,13.267,10.03,399.107,378.281,2.1743,6.5211,37.287,301,1699.2,73.22,-5.96,-0.00263,9.61739902113291,0.00219495820916412,0.150663400089527,2.84,0.159103950183008,0.0948882441807917,269.434415413606,19.7279878965842,"Coolers:","Tblock","C",10,FALSE,NA,NA,NA,0,6,12.431,6,1,-0.22,2.74,1,0,0.16,111115,15,1312.75,NA,NA,NA,NA,1.42,0.501666666666667,286.417,283.724,271.872,1.78299516113792,13.267,1.52957017764653,20.8900597875789,14.3689597875789,11.9205,1.40026468104744,0.477474942,0.922789739047442,0.712259947808147,33.9601847857081,373.709349056856,0.00873964342789671,2.19495820916412,1.05209523564653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CBT","2016-06-23",NA,NA,"Valeriana occidentalis","good",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"RMBL 2016",38.8812914,-106.9801427,2702,"Google Earth",NA
"RMBL_2016","062316-stm-vaoc4",NA,"34921.5",55.5,1,14.824,15.763,15.107,400.195,378.076,3.3872,8.2313,35.621,301.02,1699.2,73.22,-5.93,-0.0354,10.1706460638686,0.00245045582459181,0.147737037638795,2.84,0.15584407432163,0.0930313275023342,260.343127504278,19.0623237958633,"Coolers:","Tblock","C",15,FALSE,NA,NA,NA,0,6,14.659,6,1,-0.22,2.74,1,0,0.16,111115,15,1566.25,NA,NA,NA,NA,1.42,0.5017,288.913,287.974,271.872,1.8481213795566,15.763,1.79726269091672,24.5460624271608,16.3147624271608,15.2935,1.7439768411117,0.602695786,1.1412810551117,0.688599967519374,35.9418210448294,373.24136190626,0.00979398303374914,2.45045582459181,1.19456690491672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CBT","2016-06-23",NA,NA,"Valeriana occidentalis","good",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"RMBL 2016",38.8812914,-106.9801427,2702,"Google Earth",NA
"RMBL_2016","062316-stm-vaoc4",NA,"35208",70.5,1,19.134,18.675,19.99,400.78,377.011,5.7706,11.2575,37.072,300.99,1699,73.228,-5.99,-0.0871,10.8741787959786,0.00278384254506277,0.14942139565822,2.84,0.157719520107299,0.0941000645903058,252.144788146412,18.4640586911939,"Coolers:","Tblock","C",20,FALSE,NA,NA,NA,0,6,19.004,7,1,-0.22,2.74,1,0,0.16,111115,15,1851.75,NA,NA,NA,NA,1.42,0.50165,291.825,292.284,271.84,1.83995919827903,18.675,2.16085324670094,29.5085652514258,18.2510652514258,18.9045,2.19207319312156,0.824364218,1.36770897512156,0.668799515089769,40.1848576725774,371.841936135714,0.0117516936353191,2.78384254506277,1.33648902870094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CBT","2016-06-23",NA,NA,"Valeriana occidentalis","good",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"RMBL 2016",38.8812914,-106.9801427,2702,"Google Earth",NA
"RMBL_2016","062316-stm-vaoc4",NA,"35522.5",85.5,1,23.758,21.883,25.06,399.8,374.769,7.7425,14.4284,35.796,300.99,1700.5,73.23,-5.42,-0.164,11.2814312370749,0.00340308277319475,0.153942235812845,2.84,0.162764911771267,0.0969694808756106,247.509690057723,18.125134602927,"Coolers:","Tblock","C",25,FALSE,NA,NA,NA,0,6,19.21,7.2,1,-0.22,2.74,1,0,0.16,111115,15,2166.25,NA,NA,NA,NA,1.42,0.50165,295.033,296.908,272.08,1.70071049937693,21.883,2.63463187149202,35.9774938070739,21.5490938070739,22.8205,2.78923237032572,1.056591732,1.73264063832572,0.660432643930366,41.8859840954248,369.406347827447,0.0127917090839198,3.40308277319475,1.57804013949202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CBT","2016-06-23",NA,NA,"Valeriana occidentalis","good",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"RMBL 2016",38.8812914,-106.9801427,2702,"Google Earth",NA
"RMBL_2016","062316-stm-vaoc4",NA,"36030",100.5,1,28.659,25.657,30.14,400.03,374.508,11.0259,18.7544,34.839,301.03,1700,73.24,-5.1,-0.234,11.3248949828537,0.00395162767335069,0.144955488303162,2.84,0.152752062272937,0.0912668141146389,237.179987436513,17.3710622798502,"Coolers:","Tblock","C",30,FALSE,NA,NA,NA,0,6,20.482,6.2,1,-0.22,2.74,1,0,0.16,111115,15,2673.75,NA,NA,NA,NA,1.42,0.501716666666667,298.807,301.809,272,1.57152414625598,25.657,3.30637741461315,45.1444212809005,26.3900212809005,27.158,3.61250833083724,1.373572256,2.23893607483724,0.633310852090507,42.6959741642591,369.124687244066,0.0130992976858974,3.95162767335069,1.93280515861315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CBT","2016-06-23",NA,NA,"Valeriana occidentalis","good",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"RMBL 2016",38.8812914,-106.9801427,2702,"Google Earth",NA
"RMBL_2016","062316-stm-vaoc4",NA,"36367.5",115.5,1,32.898,28.059,35.03,400.046,374.081,12.3292,21.464,31.294,300.99,1700,73.24,-4.52,-0.323,11.2735252107636,0.00468298793494103,0.14776450648073,2.84,0.155874625827245,0.0930487540449128,237.533030709542,17.3969191691668,"Coolers:","Tblock","C",35,FALSE,NA,NA,NA,0,6,17.978,6.3,1,-0.22,2.74,1,0,0.16,111115,15,3011.9,NA,NA,NA,NA,1.42,0.50165,301.209,306.048,272,1.46114519536618,28.059,3.80791201001063,51.9922448117235,30.5282448117235,30.4785,4.37895879068894,1.57202336,2.80693543068894,0.634977517659374,42.2158057168439,368.722105973757,0.0129073043427413,4.68298793494103,2.23588865001063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CBT","2016-06-23",NA,NA,"Valeriana occidentalis","good",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"RMBL 2016",38.8812914,-106.9801427,2702,"Google Earth",NA
"RMBL_2016","062316-stm-vaoc4",NA,"36759.5",130.5,1,37.44,30.601,40.1,400.699,375.086,12.4921,23.1981,26.307,300.97,1700,73.24,-4.32,-0.38,10.785740084234,0.0054978482065511,0.142349268276221,2.84,0.149860747043249,0.0896139783215003,235.983280255091,17.2834154458829,"Coolers:","Tblock","C",40,FALSE,NA,NA,NA,0,6,14.169,7,1,-0.22,2.74,1,0,0.16,111115,15,3403.9,NA,NA,NA,NA,1.42,0.501616666666667,303.751,310.59,272,1.35154965674101,30.601,4.40975598516209,60.2096666461236,37.0115666461236,34.0205,5.34912288927169,1.699028844,3.65009404527169,0.62914443663869,39.0689207888434,369.958975664185,0.0113901050881498,5.49784820655111,2.71072714116209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CBT","2016-06-23",NA,NA,"Valeriana occidentalis","good",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"RMBL 2016",38.8812914,-106.9801427,2702,"Google Earth",NA
"RMBL_2016","062316-stm-vaoc4",NA,"37098.5",145.5,1,41.95,34.001,44.98,400.234,375.114,12.663,26.0182,23.175,300.9,1700,73.24,-3.95,-0.494,10.0181905877926,0.00687654830976609,0.139253185180086,2.84,0.14643324763434,0.0876510485897087,236.813627541542,17.3442300811425,"Coolers:","Tblock","C",45,FALSE,NA,NA,NA,0,6,11.28,7,1,-0.22,2.74,1,0,0.16,111115,15,3742.25,NA,NA,NA,NA,1.42,0.5015,307.151,315.1,272,0.841442375592211,34.001,5.3433086022828,72.9561524069198,46.9379524069198,37.9755,6.64844470755931,1.905572968,4.74287173955931,0.631311089624238,35.6320470722609,370.351831938901,0.00963865812191848,6.87654830976609,3.4377356342828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CBT","2016-06-23",NA,NA,"Valeriana occidentalis","good",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"RMBL 2016",38.8812914,-106.9801427,2702,"Google Earth",NA
