curveID,CO2_setpoint,T_setpoint,HHMMSS,variable,parameter,level,unit,Obs,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,n
1,400,14,46489.46667,NA,NA,NA,NA,8,62.63333333,0,14.80666667,0.530266667,326.5333333,2.62,0.582666667,17.936,6,1.42,1,2.84,15.74866667,17.936,14.15533333,400.45,381.48,11.53966667,14.6402,64.98866667,82.454,499.62,799.2666667,0,101.1,15.3,0.793,0.9,-0.22,2.74,1,0,0.16,111115,165
1,300,14,46613.46667,NA,NA,NA,NA,23,186.2333333,0,12.28666667,0.538066667,238,2.617333333,0.5744,17.898,6,1.42,1,2.84,15.70933333,17.898,14.11,298.632,282.9713333,11.579,14.6744,65.37933333,82.856,499.5933333,799,0,101.1,14.2,0.788,1,-0.22,2.74,1,0,0.16,111115,165
1,200,14,46741.26667,NA,NA,NA,NA,38,313.8333333,0,8.508666667,0.551,158,2.633333333,0.5672,17.87933333,6,1.42,1,2.84,15.69,17.87933333,14.11,198.9046667,188.0926667,11.60466667,14.72153333,65.59,83.20733333,499.6333333,799,0,101.1,12.9,0.781,1,-0.22,2.74,1,0,0.16,111115,165
1,100,14,46869.46667,NA,NA,NA,NA,53,441.7333333,0,3.544666667,0.5568,83.72,2.637333333,0.5628,17.86266667,6,1.42,1,2.84,15.68,17.86266667,14.11466667,100.978,96.414,11.6228,14.74313333,65.72,83.364,499.6266667,799,0,101.1,11.3,0.756,1,-0.22,2.74,1,0,0.16,111115,165
1,50,14,47039.13333,NA,NA,NA,NA,68,611.8666667,0,0.664133333,0.572133333,46.44,2.66,0.554933333,17.83133333,6,1.42,1,2.84,15.68,17.83133333,14.11,49.982,49.02733333,11.633,14.78193333,65.8,83.61266667,499.6266667,799,0,101.1,10.4,0.731,1,-0.22,2.74,1,0,0.16,111115,165
1,400,14,47192.53333,NA,NA,NA,NA,83,765.2666667,0,15.00666667,0.578533333,329.1333333,2.662666667,0.550466667,17.79933333,6,1.42,1,2.84,15.67,17.79933333,14.11,400.1433333,380.9073333,11.6386,14.78953333,65.85266667,83.678,499.6666667,799,0,101.1,14.6,0.707,0.96,-0.22,2.74,1,0,0.16,111115,165
1,600,14,47345.86667,NA,NA,NA,NA,98,918.2333333,0,16.14,0.594466667,523.2666667,2.699333333,0.5452,17.78666667,6,1.42,1,2.84,15.67,17.78666667,14.11666667,600.544,579.2966667,11.63013333,14.8226,65.79533333,83.85866667,499.6533333,799,0,101.1,15.6,0.698,1,-0.22,2.74,1,0,0.16,111115,165
1,900,14,47512.46667,NA,NA,NA,NA,113,1085.166667,0,16.91333333,0.601333333,816.3333333,2.701333333,0.541,17.76333333,6,1.42,1,2.84,15.66066667,17.76333333,14.11,899.8586667,876.698,11.63586667,14.83446667,65.866,83.972,499.62,799,0,101.1,16,0.672,1,-0.22,2.74,1,0,0.16,111115,165
1,1200,14,47683.33333,NA,NA,NA,NA,128,1256.166667,0,17.43333333,0.609333333,1110,2.708666667,0.5362,17.74133333,6,1.42,1,2.84,15.66533333,17.74133333,14.11133333,1200.555333,1175.804667,11.65226667,14.8558,65.95266667,84.08466667,499.6133333,799,0,101.1,15.2,0.662,1,-0.22,2.74,1,0,0.16,111115,165
1,1500,14,47827.8,NA,NA,NA,NA,143,1400.833333,0,17.47333333,0.6092,1410,2.680666667,0.531466667,17.7,6,1.42,1,2.84,15.67,17.7,14.114,1500.426,1474.682667,11.6778,14.85273333,66.09333333,84.062,499.66,799,0,101.1,13.7,0.654,0.96,-0.22,2.74,1,0,0.16,111115,165
1,1800,14,47979.66667,NA,NA,NA,NA,158,1552.033333,0,18.1,0.5946,1700,2.636666667,0.5324,17.67333333,6,1.42,1,2.84,15.67,17.67333333,14.12,1799.694,1772.346,11.68573333,14.8046,66.12466667,83.77533333,499.6533333,799,0,101.1,11.1,0.659,0.92,-0.22,2.74,1,0,0.16,111115,165
2,400,20,43553.26667,NA,NA,NA,NA,8,87.5,0,16.16666667,0.3908,300,3.337333333,0.961866667,21.22266667,6,1.42,1,2.84,20.48,21.22266667,19.97,400.3526667,379.4093333,11.55933333,15.5026,48.37133333,64.876,499.6466667,800,0,101.2,16,0.821,1,-0.22,2.74,1,0,0.16,111115,165
2,300,20,43660.26667,NA,NA,NA,NA,23,193.9,0,12.69333333,0.391466667,220.1333333,3.34,0.962333333,21.24333333,6,1.42,1,2.84,20.48466667,21.24333333,19.97,298.6753333,282.284,11.5818,15.53013333,48.45466667,64.97133333,499.64,800,0,101.2,14.8,0.821,1,-0.22,2.74,1,0,0.16,111115,165
2,200,20,43759.8,NA,NA,NA,NA,38,293.8666667,0,8.389333333,0.395266667,148.2666667,3.36,0.959733333,21.25266667,6,1.42,1,2.84,20.49,21.25266667,19.97,199.802,188.9666667,11.60106667,15.5728,48.526,65.13933333,499.66,800,0,101.2,13.5,0.819,1,-0.22,2.74,1,0,0.16,111115,165
2,100,20,43885.53333,NA,NA,NA,NA,53,419.4666667,0,3.001333333,0.405533333,82.68,3.409333333,0.9518,21.25866667,6,1.42,1,2.84,20.49,21.25866667,19.97,101.328,97.326,11.63126667,15.66006667,48.64266667,65.48933333,499.6466667,800,0,101.2,12.1,0.82,1,-0.22,2.74,1,0,0.16,111115,165
2,50,20,44064.8,NA,NA,NA,NA,68,598.1333333,0,-0.157133333,0.427733333,48.48666667,3.496666667,0.931733333,21.25466667,6,1.42,1,2.84,20.492,21.25466667,19.97,48.564,48.548,11.7236,15.85426667,49.016,66.288,499.66,800,0,101.2,11.3,0.825,1,-0.22,2.74,1,0,0.16,111115,165
2,400,20,44268.93333,NA,NA,NA,NA,83,802.6666667,0,15.89333333,0.4548,311.0666667,3.61,0.911933333,21.20733333,6,1.42,1,2.84,20.49933333,21.20733333,19.97,400.372,379.6533333,11.71573333,15.97713333,48.97533333,66.78866667,499.6,799.9333333,0.066666667,101.1333333,16,0.824,1,-0.22,2.74,1,0,0.16,111115,165
2,600,20,44433.53333,NA,NA,NA,NA,98,967.7,0,17.82,0.469666667,500,3.66,0.900066667,21.19066667,6,1.42,1,2.84,20.5,21.19066667,19.97,601.0273333,577.0986667,11.74366667,16.069,49.09,67.16866667,499.6,800,0,101.14,17.5,0.822,1,-0.22,2.74,1,0,0.16,111115,165
2,900,20,44577.26667,NA,NA,NA,NA,113,1110.966667,0,18.80666667,0.464066667,789,3.620666667,0.899666667,21.20533333,6,1.42,1,2.84,20.5,21.20533333,19.97,901.058,874.6706667,11.81573333,16.09693333,49.38266667,67.274,499.6333333,799.4,0,101.1,18.5,0.83,1,-0.22,2.74,1,0,0.16,111115,165
2,1200,20,44706.13333,NA,NA,NA,NA,128,1239.6,0,19.25333333,0.439533333,1080,3.506,0.912133333,21.23266667,6,1.42,1,2.84,20.5,21.23266667,19.97,1201.238,1173.167333,11.87893333,16.01866667,49.64533333,66.948,499.6066667,799.0666667,0,101.1,18.3,0.827,1,-0.22,2.74,1,0,0.16,111115,165
2,1500,20,44847.33333,NA,NA,NA,NA,143,1381.066667,0,19.41333333,0.411266667,1370,3.356,0.925333333,21.25733333,6,1.42,1,2.84,20.5,21.25733333,19.97,1500.878667,1471.636667,11.96066667,15.926,49.984,66.55333333,499.6466667,799,0,101.1,17.3,0.829,1,-0.22,2.74,1,0,0.16,111115,165
2,1800,20,44968.8,NA,NA,NA,NA,158,1502.5,0,19.57333333,0.394533333,1659.333333,3.26,0.9322,21.27266667,6,1.42,1,2.84,20.5,21.27266667,19.97,1799.824667,1769.412667,12.025,15.87746667,50.256,66.356,499.6466667,799,0,101.1,15.7,0.833,1,-0.22,2.74,1,0,0.16,111115,165
3,400,26,48817.06667,NA,NA,NA,NA,8,233.8333333,0,16.04666667,0.470333333,308,5.198,1.27,24.29,6,1.42,1,2.84,25.51,24.29,26.02,398.952,377.3206667,11.4524,17.58273333,35.30933333,54.208,499.6666667,799,0,101.1,16.4,0.829,1,-0.22,2.74,1,0,0.16,111115,165
3,200,26,49062.6,NA,NA,NA,NA,23,479.7666667,0,8.229333333,0.454733333,152.0666667,5.15,1.295333333,24.402,6,1.42,1,2.84,25.54,24.402,26.02,199.756,188.7046667,11.46653333,17.54213333,35.28133333,53.97866667,499.62,799,0,101,13.9,0.828,1,-0.22,2.74,1,0,0.16,111115,165
3,100,26,49300.33333,NA,NA,NA,NA,38,717.4,0,2.745333333,0.4728,83.6,5.284666667,1.288,24.436,6,1.42,1,2.84,25.56,24.436,26.02,99.958,96.052,11.46806667,17.70193333,35.24933333,54.41333333,499.62,799,0,101,12.5,0.826,1,-0.22,2.74,1,0,0.16,111115,165
3,300,26,49415.53333,NA,NA,NA,NA,53,832.6666667,0,13.22666667,0.4834,227,5.35,1.278,24.42,6,1.42,1,2.84,25.56,24.42,26.02,300.1786667,282.46,11.45566667,17.76526667,35.20666667,54.59733333,499.6,799,0,101,15.3,0.824,1,-0.22,2.74,1,0,0.16,111115,165
3,50,26,49584.73333,NA,NA,NA,NA,68,1001.466667,0,-0.367533333,0.497333333,50.59333333,5.446666667,1.27,24.432,6,1.42,1,2.84,25.56,24.432,26.02,50.13533333,50.24866667,11.4394,17.8632,35.158,54.902,499.6333333,799,0,101,11.8,0.828,1,-0.22,2.74,1,0,0.16,111115,165
3,400,26,49761.53333,NA,NA,NA,NA,83,1179.033333,0,16.16,0.5088,313,5.506666667,1.26,24.384,6,1.42,1,2.84,25.55,24.384,26.02,400.38,378.4953333,11.3936,17.8866,35.032,54.994,499.6,799,0.066666667,101,16.5,0.832,1,-0.22,2.74,1,0,0.16,111115,165
3,600,26,49885.66667,NA,NA,NA,NA,98,1302.433333,0,19.08,0.5092,494,5.512,1.26,24.384,6,1.42,1,2.84,25.55,24.384,26.02,600.2406667,573.5333333,11.37066667,17.87453333,34.966,54.968,499.6,799,0.066666667,101,18.1,0.83,1,-0.22,2.74,1,0,0.16,111115,165
3,900,26,50075.86667,NA,NA,NA,NA,113,1493.033333,0,20.87333333,0.4408,767.4,5.166666667,1.333333333,24.56,6,1.42,1,2.84,25.56,24.56,26.02,900.9886667,870.5333333,11.353,17.44853333,34.88733333,53.61733333,499.64,801,0,101,19.4,0.835,1,-0.22,2.74,1,0,0.16,111115,165
3,1200,26,50288.26667,NA,NA,NA,NA,128,1705.633333,0,21.47333333,0.367933333,1040,4.696666667,1.42,24.74533333,6,1.42,1,2.84,25.57866667,24.74533333,26.02,1200.248667,1167.864,11.38073333,16.9254,34.95,51.97266667,499.62,800.6666667,0,101,19.5,0.835,1,-0.22,2.74,1,0,0.16,111115,165
3,1500,26,50437.33333,NA,NA,NA,NA,143,1854.566667,0,21.70666667,0.333,1320,4.424,1.46,24.8,6,1.42,1,2.84,25.58,24.8,26.02,1501.147333,1467.272,11.381,16.6056,34.94,50.97733333,499.6,800,0,101,18.8,0.834,1,-0.22,2.74,1,0,0.16,111115,165
3,1800,26,50578,NA,NA,NA,NA,158,1995.7,0,21.81333333,0.3036,1600,4.194,1.51,24.87533333,6,1.42,1,2.84,25.58,24.87533333,26.02,1800.265333,1765.164667,11.3534,16.30753333,34.84933333,50.05133333,499.6,800,0,101,17.7,0.833,1,-0.22,2.74,1,0,0.16,111115,165
4,400,32,51463.4,NA,NA,NA,NA,8,132.9,0,16.22,0.352533333,286,6.317333333,1.976666667,28.33333333,6,1.42,1,2.84,30.69,28.33333333,32.06266667,400.1853333,377.8353333,11.298,18.74073333,25.75266667,42.71933333,499.58,799.0666667,0,101,17.1,0.815,1,-0.22,2.74,1,0,0.16,111115,165
4,300,32,51769.06667,NA,NA,NA,NA,23,437.8333333,0,12.94666667,0.382066667,214,6.63,1.930666667,28.29666667,6,1.42,1,2.84,30.68,28.29666667,32.06333333,299.9166667,282.14,11.28693333,19.09726667,25.74,43.55333333,499.5933333,799,0,101,16,0.814,1,-0.22,2.74,1,0,0.16,111115,165
4,200,32,51932.73333,NA,NA,NA,NA,38,601.9333333,0,8.212666667,0.401866667,145.8,6.836666667,1.907333333,28.28933333,6,1.42,1,2.84,30.682,28.28933333,32.06333333,198.83,187.4273333,11.28666667,19.3388,25.732,44.09,499.5466667,799,0,101,14.7,0.812,1,-0.22,2.74,1,0,0.16,111115,165
4,100,32,52104.73333,NA,NA,NA,NA,53,774,0,2.504,0.4274,82.71333333,7.074,1.866,28.23666667,6,1.42,1,2.84,30.69,28.23666667,32.06,99.77533333,95.95466667,11.27473333,19.60353333,25.68933333,44.66533333,499.6,799,0.133333333,101,13.2,0.811,1,-0.22,2.74,1,0,0.16,111115,165
