index,Site,Date,Taxon,TimeStart,Filename,sample,Notes,Tair_C,Tleaf_C,curveID
1,Almont,6/17/2015,Artemisia tridentata,10:30,stm-as1_.xls,as1,,14.74998837,19.50174166,1
2,Almont,6/17/2015,Artemisia tridentata,10:30,stm-as1_.xls,as1,,18.74735781,21.18357824,1
3,Almont,6/17/2015,Artemisia tridentata,10:30,stm-as1_.xls,as1,,23.36297709,24.04818471,1
4,Almont,6/17/2015,Artemisia tridentata,10:30,stm-as1_.xls,as1,,27.6254823,26.51633937,1
5,Almont,6/17/2015,Artemisia tridentata,10:30,stm-as1_.xls,as1,,32.35796534,30.17018356,1
6,Almont,6/17/2015,Artemisia tridentata,10:30,stm-as1_.xls,as1,,36.69976985,32.83172251,1
7,Almont,6/17/2015,Artemisia tridentata,10:30,stm-as1_.xls,as1,,41.12447128,35.51321335,1
8,Almont,6/17/2015,Artemisia tridentata,10:30,stm-as1_.xls,as1,,45.50936025,38.28797557,1
9,Almont,17-Jun-15,Artemisia tridentata,12:45,stm-as2_.xls,as2,,23.55728683,27.47882805,2
10,Almont,17-Jun-15,Artemisia tridentata,12:45,stm-as2_.xls,as2,,27.85254784,29.39237289,2
11,Almont,17-Jun-15,Artemisia tridentata,12:45,stm-as2_.xls,as2,,32.15990397,31.88278898,2
12,Almont,17-Jun-15,Artemisia tridentata,12:45,stm-as2_.xls,as2,,36.47885234,34.58053436,2
13,Almont,17-Jun-15,Artemisia tridentata,12:45,stm-as2_.xls,as2,,40.85432765,37.32206116,2
14,Almont,17-Jun-15,Artemisia tridentata,12:45,stm-as2_.xls,as2,,45.23525263,38.82274755,2
15,Almont,18-Jun-15,Artemisia tridentata,9:45,stm-as3_.xls,as3,Photosynthesis oscillation a lot,,,3
16,Almont,18-Jun-15,Artemisia tridentata,9:45,stm-as3_.xls,as3,Photosynthesis oscillation a lot,,,3
17,Almont,18-Jun-15,Artemisia tridentata,9:45,stm-as3_.xls,as3,Photosynthesis oscillation a lot,24.67898814,25.87410863,3
18,Almont,18-Jun-15,Artemisia tridentata,9:45,stm-as3_.xls,as3,Photosynthesis oscillation a lot,29.09881007,28.95600942,3
19,Almont,18-Jun-15,Artemisia tridentata,9:45,stm-as3_.xls,as3,Photosynthesis oscillation a lot,33.47875621,31.77093188,3
20,Almont,18-Jun-15,Artemisia tridentata,9:45,stm-as3_.xls,as3,Photosynthesis oscillation a lot,37.69621684,33.93447825,3
21,Almont,18-Jun-15,Artemisia tridentata,9:45,stm-as3_.xls,as3,Photosynthesis oscillation a lot,41.53863678,36.61906865,3
22,Almont,18-Jun-15,Artemisia tridentata,11:24,stm-as4_.xls,as4,,23.38294868,25.95657921,4
23,Almont,18-Jun-15,Artemisia tridentata,11:24,stm-as4_.xls,as4,,27.54715385,28.02847786,4
24,Almont,18-Jun-15,Artemisia tridentata,11:24,stm-as4_.xls,as4,,31.90428327,30.89550819,4
25,Almont,18-Jun-15,Artemisia tridentata,11:24,stm-as4_.xls,as4,,36.14750671,33.31564051,4
26,Almont,18-Jun-15,Artemisia tridentata,11:24,stm-as4_.xls,as4,,40.7159078,36.51039785,4
27,Almont,18-Jun-15,Artemisia tridentata,11:24,stm-as4_.xls,as4,,45.10487442,39.35582072,4
28,Almont,18-Jun-15,Artemisia tridentata,12:45,stm-as5_.xls,as5,,24.90533485,27.49520925,5
29,Almont,18-Jun-15,Artemisia tridentata,12:45,stm-as5_.xls,as5,,28.942829,29.2485218,5
30,Almont,18-Jun-15,Artemisia tridentata,12:45,stm-as5_.xls,as5,,33.16269201,31.0480039,5
31,Almont,18-Jun-15,Artemisia tridentata,12:45,stm-as5_.xls,as5,,37.60693207,33.41451925,5
32,Almont,18-Jun-15,Artemisia tridentata,12:45,stm-as5_.xls,as5,,42.09724096,35.79153671,5
33,Almont,18-Jun-15,Artemisia tridentata,12:45,stm-as5_.xls,as5,,45.07278035,37.56180344,5
34,Almont,22-Jun-15,Artemisia tridentata,12:45,stm-as6_.xls,as6,,24.62004573,28.26126811,6
35,Almont,22-Jun-15,Artemisia tridentata,12:45,stm-as6_.xls,as6,,28.69760997,30.22826131,6
36,Almont,22-Jun-15,Artemisia tridentata,12:45,stm-as6_.xls,as6,,32.56014684,31.96979179,6
37,Almont,22-Jun-15,Artemisia tridentata,12:45,stm-as6_.xls,as6,,36.92785873,34.6846789,6
38,Almont,22-Jun-15,Artemisia tridentata,12:45,stm-as6_.xls,as6,,41.64891739,38.72966843,6
39,Almont,22-Jun-15,Artemisia tridentata,1:30,stm-as7_.xls,as7,,28.64290148,26.86326599,7
40,Almont,22-Jun-15,Artemisia tridentata,1:30,stm-as7_.xls,as7,,32.62565028,32.25785192,7
41,Almont,22-Jun-15,Artemisia tridentata,1:30,stm-as7_.xls,as7,,36.63008753,37.13590647,7
42,Almont,22-Jun-15,Artemisia tridentata,1:30,stm-as7_.xls,as7,,41.13698273,42.18615163,7
43,Almont,22-Jun-15,Artemisia tridentata,1:30,stm-as7_.xls,as7,,45.43086344,41.31457392,7
44,Almont,22-Jun-15,Artemisia tridentata,1:30,stm-as7_.xls,as7,,48.15835444,42.94652964,7
45,Almont,22-Jun-15,Balsamorhiza sagittata,9:35,stm-abasa1_.xls,abasa1,,15.38953145,18.56421013,8
46,Almont,22-Jun-15,Balsamorhiza sagittata,9:35,stm-abasa1_.xls,abasa1,,19.22180608,20.63071353,8
47,Almont,22-Jun-15,Balsamorhiza sagittata,9:35,stm-abasa1_.xls,abasa1,,23.53919589,23.403442,8
48,Almont,22-Jun-15,Balsamorhiza sagittata,9:35,stm-abasa1_.xls,abasa1,,27.53479029,25.6784167,8
49,Almont,22-Jun-15,Balsamorhiza sagittata,9:35,stm-abasa1_.xls,abasa1,,32.03917592,28.71097857,8
50,Almont,22-Jun-15,Balsamorhiza sagittata,9:35,stm-abasa1_.xls,abasa1,,36.46459681,31.64204127,8
51,Almont,22-Jun-15,Balsamorhiza sagittata,9:35,stm-abasa1_.xls,abasa1,,40.96559626,34.79705582,8
52,Almont,22-Jun-15,Balsamorhiza sagittata,9:35,stm-abasa1_.xls,abasa1,,44.06592178,36.34753647,8
