"","UniqueID","T_amb","T_setpoint","T_air_below","T_air_above","T_leaf_below","T_leaf_above","Licor_Type","Licor_name","Species","PAR","Notes","T_round","HHMMSS","variable","parameter","level","unit","Obs","FTime","EBal.","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","n"
"1",1,19.96,0,6.15,13.26,12.05,12.56,6400,"Angert","Gaultheria shallon",1600,"Photo, cond OK; logfile jcg_gash_1",0,45207.8666666667,NA,NA,NA,NA,8,1526.36666666667,0,2.19533333333333,0.03108,273.8,0.250133333333333,0.821466666666667,8.30466666666667,6,1.42,1,2.84,3.12466666666667,8.30466666666667,0.05,398.998,392.112666666667,1.9838,2.73293333333333,26.278,36.1973333333333,199.8,1600,1.66666666666667,101.7,20.2,0.544,1,-0.22,2.74,1,0,0.16,111115,15
"2",1,20.15,5,9.61,15.22,14.52,14.85,6400,"Angert","Gaultheria shallon",1600,"Photo, cond OK; logfile jcg_gash_1",1,45723.2666666667,NA,NA,5,NA,23,2041.93333333333,0,2.55866666666667,0.0312933333333333,256.2,0.3014,0.9818,11.4206666666667,6,1.42,1,2.84,7.17533333333333,11.4206666666667,4.96,401.315333333333,393.281333333333,2.76413333333333,3.66613333333333,27.6166666666667,36.6286666666667,199.76,1600,1.46666666666667,101.7,20.1,0.588,1,-0.22,2.74,1,0,0.16,111115,15
"3",1,20.11,10,13.51,17.64,17.5,17.65,6400,"Angert","Gaultheria shallon",1600,"Photo, cond OK; logfile jcg_gash_1",2,46259.0666666667,NA,NA,10,NA,38,2577.26666666667,0,2.94266666666667,0.0336466666666667,242.733333333333,0.403866666666667,1.22,15.0413333333333,6,1.42,1,2.84,11.56,15.0413333333333,10.0286666666667,399.542,390.237333333333,3.65606666666667,4.86306666666667,27.186,36.1633333333333,199.8,1600,1.26666666666667,101.7,20.4,0.647,1,-0.22,2.74,1,0,0.16,111115,15
"4",1,20.35,15,17.46,20.15,20.6,20.58,6400,"Angert","Gaultheria shallon",1600,"Photo, cond OK; logfile jcg_gash_1",3,46762.9333333333,NA,NA,15,NA,53,3081,0,3.26933333333333,0.03494,230.133333333333,0.522,1.51866666666667,18.684,6,1.42,1,2.84,16.0646666666667,18.684,15.0986666666667,399.388666666667,388.962666666667,4.78773333333333,6.34586666666667,26.5706666666667,35.2186666666667,199.8,1600,1,101.7,20.5,0.702,1,-0.22,2.74,1,0,0.16,111115,15
"5",1,20.36,20,21.13,22.33,23.35,23.15,6400,"Angert","Gaultheria shallon",1600,"Photo, cond OK; logfile jcg_gash_1",4,47326,NA,NA,20,NA,68,3644.16666666667,0,3.28666666666667,0.0312,210.466666666667,0.565466666666667,1.83,22.0993333333333,6,1.42,1,2.84,20.3226666666667,22.0993333333333,19.9726666666667,399.813333333333,389.28,6.5592,8.24413333333333,27.854,35.008,199.706666666667,1599,1,101.7,20.7,0.763,1,-0.22,2.74,1,0,0.16,111115,15
"6",1,20.61,25,25,24.81,26.47,26.2,6400,"Angert","Gaultheria shallon",1600,"Photo, cond OK; logfile jcg_gash_1",5,47976.8666666667,NA,NA,25,NA,83,4295.13333333333,0,2.71133333333333,0.0230733333333333,192.2,0.540266666666667,2.35,25.7193333333333,6,1.42,1,2.84,24.7613333333333,25.7193333333333,25.04,401.13,392.349333333333,7.93746666666667,9.54513333333333,25.7413333333333,30.9546666666667,199.706666666667,1599,1.26666666666667,101.7,21.2,0.799,1,-0.22,2.74,1,0,0.16,111115,15
"7",1,20.84,30,28.67,27.04,29.36,28.93,6400,"Angert","Gaultheria shallon",1600,"Photo, cond OK; logfile jcg_gash_1",6,48481.4,NA,NA,30,NA,98,4799.63333333333,0,1.932,0.0144666666666667,164.866666666667,0.454333333333333,3.12933333333333,29.176,6,1.42,1,2.84,29.2033333333333,29.176,30.12,399.750666666667,393.408,7.85566666666667,9.2074,19.6226666666667,22.9986666666667,199.706666666667,1599,0.666666666666667,101.7,21.4,0.796,1,-0.22,2.74,1,0,0.16,111115,15
"8",1,20.86,35,32.47,29.46,32.38,31.71,6400,"Angert","Gaultheria shallon",1600,"Photo, cond OK; logfile jcg_gash_1",7,49086.2666666667,NA,NA,35,NA,113,5405.03333333333,0,0.7944,0.00576,157.4,0.240066666666667,4.124,32.794,6,1.42,1,2.84,33.56,32.794,34.9913333333333,399.704,397.029333333333,7.83526666666667,8.55086666666667,15.28,16.6753333333333,199.673333333333,1599.73333333333,0,101.6,21.9,0.788,1,-0.22,2.74,1,0,0.16,111115,15
"9",1,20.55,40,36.41,31.86,35.35,34.47,6400,"Angert","Gaultheria shallon",1600,"Photo, cond OK; logfile jcg_gash_1",8,49753.7333333333,NA,NA,40,NA,128,6071.73333333333,0,0.436333333333333,0.00320866666666667,156.533333333333,0.1698,5.2,36.2186666666667,6,1.42,1,2.84,38.08,36.2186666666667,40.06,399.386,397.872,7.77853333333333,8.28406666666667,11.8253333333333,12.594,199.673333333333,1600.8,0.0666666666666667,101.6,22.4,0.778,1,-0.22,2.74,1,0,0.16,111115,15
"10",1,21.22,45,40.66,34.83,38.85,37.74,6400,"Angert","Gaultheria shallon",1600,"Photo, cond OK; logfile jcg_gash_1",9,50557.7333333333,NA,NA,45,NA,143,6876.33333333333,0,0.3236,0.00233066666666667,146.066666666667,0.1566,6.55,39.9526666666667,6,1.42,1,2.84,42.79,39.9526666666667,45.1346666666667,398.870666666667,397.714,7.83366666666667,8.2996,9.26533333333333,9.81866666666667,199.7,1601,0,101.6,23.1,0.781,1,-0.22,2.74,1,0,0.16,111115,15
