UniqueID,Chamber_setpoint,T_block,T_air,T_leaf,T_below,T_above,T_amb_1,T_amb_2,Licor,Flow,PAR,Species,Date
1,12,12,14.69,15.77,14.08,15.26,12.44,12.44,6800,200,1600,Empty,26-01-2020
1,16,16,18.41,19.48,17.96,19.07,16.44,16.41,6800,200,1600,Empty,26-01-2020
1,20,20,22.4,23.53,22,23.05,20.44,20.39,6800,200,1600,Empty,26-01-2020
1,24,24,26.37,27.55,26.26,27.15,24.77,24.62,6800,200,1600,Empty,26-01-2020
1,28,28,29.98,31.13,29.66,30.62,28.16,28.07,6800,200,1600,Empty,26-01-2020
1,32,32,33.94,35.05,33.63,34.59,32.28,32.2,6800,200,1600,Empty,26-01-2020
1,36,36,37.74,38.9,37.5,38.4,36.13,36.03,6800,200,1600,Empty,26-01-2020
1,40,40,41.71,42.87,41.55,42.42,40.44,40.33,6800,200,1600,Empty,26-01-2020
2,12,11.99,12.43,13.7,12.99,14.07,12.44,12.44,6400,200,1600,Empty,26-01-2020
2,16,16.08,16.46,17.78,17.01,18.02,16.44,16.41,6400,200,1600,Empty,26-01-2020
2,20,19.97,20.39,21.84,20.97,21.96,20.44,20.39,6400,200,1600,Empty,26-01-2020
2,24,24.06,24.54,26.22,25.14,26.09,24.77,24.62,6400,200,1600,Empty,26-01-2020
2,28,27.95,28.36,30.07,28.83,29.81,28.16,28.07,6400,200,1600,Empty,26-01-2020
2,32,32.05,32.46,33.99,32.83,33.81,32.28,32.2,6400,200,1600,Empty,26-01-2020
2,36,35.94,36.38,37.96,36.76,37.68,36.13,36.03,6400,200,1600,Empty,26-01-2020
2,40,40.03,40.48,42.05,40.86,41.79,40.44,40.33,6400,200,1600,Empty,26-01-2020
3,12,12,15.85,16.34,14.15,16.05,12.43,12.62,6800,200,1600,Gaultheria shallon,28-01-2020
3,16,16,19.46,19.98,17.82,19.71,16.29,16.42,6800,200,1600,Gaultheria shallon,28-01-2020
3,20,20,23.12,23.76,21.63,23.38,20.12,20.25,6800,200,1600,Gaultheria shallon,28-01-2020
3,24,24,26.84,27.56,25.42,27.08,23.86,23.92,6800,200,1600,Gaultheria shallon,28-01-2020
3,28,28,30.71,31.44,29.28,30.95,27.74,27.8,6800,200,1600,Gaultheria shallon,28-01-2020
3,32,32,34.67,35.42,33.24,34.94,31.7,31.92,6800,200,1600,Gaultheria shallon,28-01-2020
3,36,36,38.3,39.15,37.06,38.65,35.58,35.7,6800,200,1600,Gaultheria shallon,28-01-2020
3,40,40,42.09,42.98,40.95,42.5,39.9,39.86,6800,200,1600,Gaultheria shallon,28-01-2020
4,12,11.99,12.53,14.85,13.16,14.59,12.43,12.62,6400,200,1600,Gaultheria shallon,28-01-2020
4,16,16.08,16.56,18.88,17.18,18.56,16.29,16.42,6400,200,1600,Gaultheria shallon,28-01-2020
4,20,19.97,20.48,23.03,21.15,22.52,20.12,20.25,6400,200,1600,Gaultheria shallon,28-01-2020
4,24,24.06,24.54,27.23,25.14,26.47,23.86,23.92,6400,200,1600,Gaultheria shallon,28-01-2020
4,28,27.95,28.84,31.23,29.28,30.99,27.74,27.8,6400,200,1600,Gaultheria shallon,28-01-2020
4,32,32.04,32.53,35.33,33,34.36,31.7,31.92,6400,200,1600,Gaultheria shallon,28-01-2020
4,36,35.94,36.46,39.35,36.96,38.37,35.58,35.7,6400,200,1600,Gaultheria shallon,28-01-2020
4,40,40.02,40.56,43.48,39.97,42.4,39.9,39.86,6400,200,1600,Gaultheria shallon,28-01-2020
5,12,12,16.13,16.98,14.62,16.12,12.37,12.43,6800,200,1600,Thuja plicata,28-01-2020
5,16,16,19.64,20.5,18.21,19.7,16.43,16.45,6800,200,1600,Thuja plicata,28-01-2020
5,20,20,23.12,24.02,21.87,23.24,20.33,20.27,6800,200,1600,Thuja plicata,28-01-2020
5,24,24,26.88,27.75,25.7,27.03,24.22,24.12,6800,200,1600,Thuja plicata,28-01-2020
5,28,28,30.8,31.67,29.62,30.97,28.14,28.01,6800,200,1600,Thuja plicata,28-01-2020
5,32,32,34.77,35.66,33.62,34.99,32.09,31.95,6800,200,1600,Thuja plicata,28-01-2020
5,36,36,38.4,39.28,37.4,38.68,36.25,36.11,6800,200,1600,Thuja plicata,28-01-2020
5,40,40,42.18,43.07,41.3,42.54,40.11,39.95,6800,200,1600,Thuja plicata,28-01-2020
6,12,11.99,12.59,14.97,13.62,14.45,12.37,12.43,6400,200,1600,Thuja plicata,28-01-2020
6,16,16.08,16.6,18.95,17.62,18.4,16.43,16.45,6400,200,1600,Thuja plicata,28-01-2020
6,20,19.97,20.5,22.94,21.56,22.3,20.33,20.27,6400,200,1600,Thuja plicata,28-01-2020
6,24,24.06,24.57,27.02,25.55,26.31,24.22,24.12,6400,200,1600,Thuja plicata,28-01-2020
6,28,27.95,28.48,31,29.42,30.2,28.14,28.01,6400,200,1600,Thuja plicata,28-01-2020
6,32,32.04,32.58,35.07,33.45,34.21,32.09,31.95,6400,200,1600,Thuja plicata,28-01-2020
6,36,35.94,36.52,39.1,37.44,38.24,36.25,36.11,6400,200,1600,Thuja plicata,28-01-2020
6,40,40.03,40.6,43.11,41.54,42.3,40.11,39.95,6400,200,1600,Thuja plicata,28-01-2020
