Index,Site,Date,Taxon,TimeStart,filename,Sample,Mfresh_g,Mdry_g,A_cm2,Absorptance,Notes
1,Almont,06/17/15,Artemisia tridentata,10:30,stm-as1_.xls,as1,0.02092,0.00862,0.656378517,0.35,added H2O at 42.7 °C
2,Almont,06/17/15,Artemisia tridentata,12:45,stm-as2_.xls,as2,0.0134,0.00517,0.434013404,0.35,
3,Almont,06/18/15,Artemisia tridentata,9:45,stm-as3_.xls,as3,0.01706,0.00705,0.512722912,0.35,"Psyn oscillating lots. Extra leaves were in gasket, possibly contributing to leak?"
4,Almont,06/18/15,Artemisia tridentata,11:24,stm-as4_.xls,as4,0.02436,0.00915,0.946449578,0.35,
5,Almont,06/18/15,Artemisia tridentata,12:45,stm-as5_.xls,as5,0.02397,0.00808,0.851754441,0.35,This leaf behaved well
6,Almont,06/22/15,Balsamorhiza sagittata,9:35,stm-abasa1_.xls,abasa1,5.56724,1.5744,157.3954411,0.38,This leaf took whole chamber area. Started using Jennie's machine on this day (installed temperature conrtol kit previous Friday)
7,Almont,06/22/15,Balsamorhiza sagittata,10:55,stm-abasa2_.xls,abasa2,4.66954,1.31303,140.440137,0.38,
8,Almont,06/22/15,Balsamorhiza sagittata,11:53,stm-abasa3_.xls,abasa3,5.69415,1.78322,158.6623201,0.38,Didn't get T_opt!
9,Almont,06/22/15,Artemisia tridentata,12:45,stm-as6_.xls,as6,0.02051,0.0082,0.536074116,0.35,Leaf may not be touching thermocouple.
10,Almont,06/22/15,Artemisia tridentata,1:30,stm-as7_.xls,as7,0.02359,0.00898,0.86952322,0.35,"Something funky happened with 5th temperature.  T_leaf = T_air until fifth temp, when T_leaf dropped dramatically."
11,Almont,06/23/15,Balsamorhiza sagittata,7:00,stm-abasa4_.xls,abasa4,3.55055,0.9698,104.0503049,0.38,Sensor head tipped near T_opt
12,Almont,06/23/15,Balsamorhiza sagittata,10:09,stm-abasa5_.xls,abasa5,6.71308,1.80515,165.109636,0.38,
13,Road,06/24/15,Artemisia tridentata,8:27,stm-rartr1_.xls,rartr1,0.03525,0.0097,1.435910891,0.35,
14,Road,06/24/15,Artemisia tridentata,9:36,stm-rartr2_.xls,rartr2,0.04126,0.01123,1.555211709,0.35,
15,Road,06/24/15,Artemisia tridentata,10:47,stm-rartr3_.xls,rartr3,0.033,0.00889,1.247551081,0.35,
16,Road,06/24/15,Artemisia tridentata,12:00,stm-rartr4_.xls,rartr4,0.0349,0.01072,1.488482462,0.35,not doing homeothermy - water limited?
17,Road,06/25/15,Veratrum californicum,8:35,stm-rcup1_.xls,rcup1,5.51545,1.24308,178.2417762,0.41,not yet flowering. Entire chamber area filled. *Leaf not homeothermic*
18,Road,06/25/15,Valeriana occidentalis,10:06,stm-rvaoc1_.xls,rvaoc1,0.38429,0.08571,18.70662644,0.46,"not yet bolted/flowering. This is the ""ground"" leaf morphology before bolting with flower appearance. Entire chamber area filled.  *Measured right before LICOR went bad*"
19,Road,06/25/15,Valeriana occidentalis,3:40,stm-rvaoc2_.xls,rvaoc2,0.70575,0.16826,31.51430499,0.46,
20,Road,06/26/15,Valeriana occidentalis,8:10,stm-rvaoc3_.xls,rvaoc3,0.38729,0.07733,19.10444816,0.46,May be just bolting
21,Road,06/26/15,Potentilla gracilis,9:10,stm-rpoga1_.xls,rpoga1,1.0377,0.33686,52.80245813,0.49,
