UniqueID,T_block,T_air,T_leaf,T_below,T_above,Licor_Type,Licor_name,Species,Flow,PAR,Date
1,8.12,10.32,15.9,12.83,17.24,6400,Angert,Gaultheria shallon,200,1600,14-11-2019
1,11.98,13.66,18.44,15.66,19.18,6400,Angert,Gaultheria shallon,200,1600,14-11-2019
1,16.07,17.18,21.07,18.67,21.04,6400,Angert,Gaultheria shallon,200,1600,14-11-2019
1,19.97,20.58,23.63,21.64,22.87,6400,Angert,Gaultheria shallon,200,1600,14-11-2019
1,24.06,24.17,26.18,24.67,24.76,6400,Angert,Gaultheria shallon,200,1600,14-11-2019
1,27.97,27.53,28.49,27.44,26.34,6400,Angert,Gaultheria shallon,200,1600,14-11-2019
1,32.06,31.14,31.09,30.44,28.26,6400,Angert,Gaultheria shallon,200,1600,14-11-2019
1,35.96,34.57,33.28,33.3,30.04,6400,Angert,Gaultheria shallon,200,1600,14-11-2019
1,40.06,38.21,35.88,36.4,32.09,6400,Angert,Gaultheria shallon,200,1600,14-11-2019
1,43.95,41.77,38.56,39.55,34.1,6400,Angert,Gaultheria shallon,200,1600,14-11-2019
2,9.35,10.95,15.36,13.7,16.15,6400,Angert,Paper,200,1600,19-11-2019
2,10.51,12.19,16.85,14.55,17.27,6400,Angert,Paper,200,1600,19-11-2019
2,14.12,15.31,19.29,17.21,19.14,6400,Angert,Paper,200,1600,19-11-2019
2,18.02,18.62,21.69,19.9,20.98,6400,Angert,Paper,200,1600,19-11-2019
2,22.12,22.19,24.36,22.87,23.05,6400,Angert,Paper,200,1600,19-11-2019
2,26.02,25.61,26.9,25.75,25.05,6400,Angert,Paper,200,1600,19-11-2019
2,30.12,29.18,29.51,28.7,27.1,6400,Angert,Paper,200,1600,19-11-2019
2,34.01,32.62,32,31.53,29.12,6400,Angert,Paper,200,1600,19-11-2019
2,38.1,36.31,34.84,34.58,31.46,6400,Angert,Paper,200,1600,19-11-2019
2,41.82,39.48,36.68,37.07,33.03,6400,Angert,Paper,200,1600,19-11-2019
3,11.46,13.14,17.46,17.33,17.72,6400,Angert,Thuja plicata,200,1600,21-11-2019
3,14.12,15.37,19,18.95,19.08,6400,Angert,Thuja plicata,200,1600,21-11-2019
3,18.02,18.7,21.27,21.04,21.11,6400,Angert,Thuja plicata,200,1600,21-11-2019
3,22.12,22.24,23.62,23.32,23.27,6400,Angert,Thuja plicata,200,1600,21-11-2019
3,26.02,25.65,25.98,25.37,25.25,6400,Angert,Thuja plicata,200,1600,21-11-2019
3,30.12,29.15,28.23,27.53,27.34,6400,Angert,Thuja plicata,200,1600,21-11-2019
3,34.02,32.5,30.32,29.52,29.3,6400,Angert,Thuja plicata,200,1600,21-11-2019
3,38.11,36.04,32.48,31.7,31.29,6400,Angert,Thuja plicata,200,1600,21-11-2019
3,40.64,38.25,33.84,33.03,32.62,6400,Angert,Thuja plicata,200,1600,21-11-2019
4,5.53,13.71,14.94,14.17,14.18,6800,Pennell,Empty,200,1600,12-12-2019
4,12,17.7,18.92,18.05,18.72,6800,Pennell,Empty,200,1600,12-12-2019
4,16,20.33,21.52,20.62,21.29,6800,Pennell,Empty,200,1600,12-12-2019
4,20,22.95,24.12,23.17,23.79,6800,Pennell,Empty,200,1600,12-12-2019
4,24,25.85,26.99,25.88,26.5,6800,Pennell,Empty,200,1600,12-12-2019
4,28,28.52,29.61,28.48,29.95,6800,Pennell,Empty,200,1600,12-12-2019
4,32,31.18,32.22,30.99,31.66,6800,Pennell,Empty,200,1600,12-12-2019
4,36,34.14,35.14,33.38,34.57,6800,Pennell,Empty,200,1600,12-12-2019
4,40,36.47,37.43,36.13,36.9,6800,Pennell,Empty,200,1600,12-12-2019
4,44,38.84,39.72,38.37,39.12,6800,Pennell,Empty,200,1600,12-12-2019
5,5.09,13.51,13.58,12.39,14.63,6800,Pennell,Paper,200,1600,13-12-2019
5,12,17.77,17.73,16.62,18.77,6800,Pennell,Paper,200,1600,13-12-2019
5,16,20.59,20.5,19.46,21.56,6800,Pennell,Paper,200,1600,13-12-2019
5,20,23.41,23.26,22.29,24.33,6800,Pennell,Paper,200,1600,13-12-2019
5,24,26.39,26.2,25.27,27.24,6800,Pennell,Paper,200,1600,13-12-2019
5,28,29.24,28.98,28.11,30.08,6800,Pennell,Paper,200,1600,13-12-2019
5,32,32.04,31.7,30.87,32.83,6800,Pennell,Paper,200,1600,13-12-2019
5,36,34.82,34.39,33.62,35.53,6800,Pennell,Paper,200,1600,13-12-2019
5,40,37.58,37.01,36.31,38.24,6800,Pennell,Paper,200,1600,13-12-2019
5,44,39.88,39.06,38.53,40.5,6800,Pennell,Paper,200,1600,13-12-2019
6,6.05,14.33,15.33,13.46,15.58,6800,Pennell,Gaultheria shallon,200,1600,14-01-2020
6,12,17.86,18.62,16.93,18.91,6800,Pennell,Gaultheria shallon,200,1600,14-01-2020
6,16,20.38,21.03,19.46,21.28,6800,Pennell,Gaultheria shallon,200,1600,14-01-2020
6,20,23.13,23.68,22.16,23.91,6800,Pennell,Gaultheria shallon,200,1600,14-01-2020
6,24,26.01,26.46,25.04,26.69,6800,Pennell,Gaultheria shallon,200,1600,14-01-2020
6,28,28.76,29.11,27.77,29.31,6800,Pennell,Gaultheria shallon,200,1600,14-01-2020
6,32,31.49,31.69,30.48,31.92,6800,Pennell,Gaultheria shallon,200,1600,14-01-2020
6,36,34.08,34.16,32.96,34.33,6800,Pennell,Gaultheria shallon,200,1600,14-01-2020
6,40,36.69,36.62,35.49,36.78,6800,Pennell,Gaultheria shallon,200,1600,14-01-2020
6,44,39.32,39.13,38.05,39.28,6800,Pennell,Gaultheria shallon,200,1600,14-01-2020
7,8.65,16.85,18.51,16.3,17.45,6800,Pennell,Thuja plicata,200,1600,21-01-2020
7,12,18.53,20.08,18.05,19.2,6800,Pennell,Thuja plicata,200,1600,21-01-2020
7,16,21.12,22.55,20.67,21.79,6800,Pennell,Thuja plicata,200,1600,21-01-2020
7,20,23.71,25.04,23.27,24.32,6800,Pennell,Thuja plicata,200,1600,21-01-2020
7,24,26.36,27.57,25.91,27.02,6800,Pennell,Thuja plicata,200,1600,21-01-2020
7,28,29.12,30.2,28.67,29.76,6800,Pennell,Thuja plicata,200,1600,21-01-2020
7,32,31.69,32.62,31.18,32.27,6800,Pennell,Thuja plicata,200,1600,21-01-2020
7,36,34.33,35.11,33.75,34.84,6800,Pennell,Thuja plicata,200,1600,21-01-2020
7,40,37.09,37.75,36.57,37.55,6800,Pennell,Thuja plicata,200,1600,21-01-2020
7,44,40.25,40.71,39.52,40.54,6800,Pennell,Thuja plicata,200,1600,21-01-2020
8,13.05,14.71,18.93,17.15,20.21,6400,Henry,Thuja plicata,200,1600,21-04-2020
8,16.02,17.19,20.54,19.16,21.59,6400,Henry,Thuja plicata,200,1600,21-04-2020
