Time,Sous_vide,Value,Name,Type
11:46,5.6,5.6,K_5,K_5
11:57,10.4,10.2,K_5,K_5
12:09,15.4,15.2,K_5,K_5
12:24,20.3,20.1,K_5,K_5
12:37,25.3,25,K_5,K_5
12:50,30.2,29.9,K_5,K_5
13:05,35,34.6,K_5,K_5
13:18,40.1,39.7,K_5,K_5
13:31,45.1,44.8,K_5,K_5
11:46,5.6,5.5,T_4_star,T_4
11:57,10.4,10.3,T_4_star,T_4
12:09,15.4,15.2,T_4_star,T_4
12:24,20.3,20.1,T_4_star,T_4
12:37,25.3,25.1,T_4_star,T_4
12:50,30.2,30,T_4_star,T_4
13:05,35,34.8,T_4_star,T_4
13:18,40.1,39.9,T_4_star,T_4
13:31,45.1,45,T_4_star,T_4
11:46,5.6,5.6,T_5,T_5
11:57,10.4,10.3,T_5,T_5
12:09,15.4,15.2,T_5,T_5
12:24,20.3,20.1,T_5,T_5
12:37,25.3,25.1,T_5,T_5
12:50,30.2,30,T_5,T_5
13:05,35,34.8,T_5,T_5
13:18,40.1,39.9,T_5,T_5
13:31,45.1,45,T_5,T_5
11:46,5.6,4.76,LI-6400XT_Guy,LI-6400XT_1
11:57,10.4,9.63,LI-6400XT_Guy,LI-6400XT_1
12:09,15.4,14.78,LI-6400XT_Guy,LI-6400XT_1
12:24,20.3,19.94,LI-6400XT_Guy,LI-6400XT_1
12:37,25.3,25.1,LI-6400XT_Guy,LI-6400XT_1
12:50,30.2,30.29,LI-6400XT_Guy,LI-6400XT_1
13:05,35,35.41,LI-6400XT_Guy,LI-6400XT_1
13:18,40.1,40.88,LI-6400XT_Guy,LI-6400XT_1
13:31,45.1,46.32,LI-6400XT_Guy,LI-6400XT_1
11:46,5.6,4.61,LI-6400XT_Angert,LI-6400XT_2
11:57,10.4,9.53,LI-6400XT_Angert,LI-6400XT_2
12:09,15.4,14.71,LI-6400XT_Angert,LI-6400XT_2
12:24,20.3,19.88,LI-6400XT_Angert,LI-6400XT_2
12:37,25.3,25.13,LI-6400XT_Angert,LI-6400XT_2
12:50,30.2,30.34,LI-6400XT_Angert,LI-6400XT_2
13:05,35,35.47,LI-6400XT_Angert,LI-6400XT_2
13:18,40.1,41.02,LI-6400XT_Angert,LI-6400XT_2
13:31,45.1,46.53,LI-6400XT_Angert,LI-6400XT_2
11:46,5.6,5.66,LI-6800_M1,LI-6800_1
11:57,10.4,10.38,LI-6800_M1,LI-6800_1
