UniqueID,T_amb,T_setpoint,T_block,T_air,T_leaf,T_air_below,T_air_above,T_leaf_below,T_leaf_above,Licor_Type,Licor_name,Species,Flow,PAR,Date,Notes
1,20.06,0,0.14,3.29,6.76,6.22,12.66,12.05,12.06,6400,Angert,Gaultheria shallon,200,1600,07-01-2022,"No photo, No cond"
1,20.03,5,4.95,7.42,10.35,9.91,15.06,14.91,14.83,6400,Angert,Gaultheria shallon,200,1600,07-01-2022,"No photo, No cond"
1,20.36,10,10.04,11.73,13.84,13.61,17.46,17.76,17.56,6400,Angert,Gaultheria shallon,200,1600,07-01-2022,"No photo, No cond"
1,20.27,15,15.09,16.07,17.67,17.46,19.97,20.83,20.48,6400,Angert,Gaultheria shallon,200,1600,07-01-2022,"No photo, No cond"
1,20.28,20,19.97,20.36,21.28,21.22,22.36,23.71,23.25,6400,Angert,Gaultheria shallon,200,1600,07-01-2022,"No photo, No cond"
1,20.23,25,25.04,24.79,25.02,25.05,24.8,26.72,26.11,6400,Angert,Gaultheria shallon,200,1600,07-01-2022,"No photo, No cond"
1,20.4,30,30.12,29.23,28.73,28.89,27.24,29.73,28.97,6400,Angert,Gaultheria shallon,200,1600,07-01-2022,"No photo, No cond"
1,20.38,35,34.99,33.47,32.16,32.47,29.47,32.45,31.59,6400,Angert,Gaultheria shallon,200,1600,07-01-2022,"No photo, No cond"
1,21.03,40,40.06,38.16,36.18,36.6,32.34,35.8,34.79,6400,Angert,Gaultheria shallon,200,1600,07-01-2022,"No photo, No cond"
1,20.76,45,45.13,42.77,39.89,40.65,35,39.02,37.86,6400,Angert,Gaultheria shallon,200,1600,07-01-2022,"No photo, No cond"
1,20.68,50,49.81,46.85,42.7,44.15,37.15,41.64,40.32,6400,Angert,Gaultheria shallon,200,1600,07-01-2022,"No photo, No cond"
2,20.33,0,1.81,4.803,10.91,8.09,15.38,13.98,14.21,6400,Guy,Gaultheria shallon,200,1600,11-01-2022,"No photo, No cond"
2,20.4,5,5.09,7.489,12.65,10.27,16.66,15.61,15.84,6400,Guy,Gaultheria shallon,200,1600,11-01-2022,"No photo, No cond"
2,20.51,10,9.971,11.73,16.06,14.02,18.97,18.45,18.72,6400,Guy,Gaultheria shallon,200,1600,11-01-2022,"No photo, No cond"
2,20.56,15,15.04,16.09,19.32,17.71,21.17,21.23,21.54,6400,Guy,Gaultheria shallon,200,1600,11-01-2022,"No photo, No cond"
2,20.55,20,20.11,20.7,23.02,21.76,23.67,24.33,24.69,6400,Guy,Gaultheria shallon,200,1600,11-01-2022,"No photo, No cond"
2,20.62,25,25,24.68,26.23,25.4,25.88,27.13,27.52,6400,Guy,Gaultheria shallon,200,1600,11-01-2022,"No photo, No cond"
2,20.56,30,30.07,29.41,29.47,29.1,28.06,29.93,30.33,6400,Guy,Gaultheria shallon,200,1600,11-01-2022,"No photo, No cond"
2,20.93,35,35.12,33.98,32.96,33.02,30.45,32.95,33.35,6400,Guy,Gaultheria shallon,200,1600,11-01-2022,"No photo, No cond"
2,20.65,40,40.01,38.25,35.8,36.51,32.46,35.58,35.95,6400,Guy,Gaultheria shallon,200,1600,11-01-2022,"No photo, No cond"
2,20.81,45,45.09,42.92,39.23,40.64,35.05,38.84,39.1,6400,Guy,Gaultheria shallon,200,1600,11-01-2022,"No photo, No cond"
2,20.82,50,49.77,47.02,41.59,44.08,37.03,41.35,41.63,6400,Guy,Gaultheria shallon,200,1600,11-01-2022,"No photo, No cond"
3,19.96,0,0.03,3.06,8.21,6.15,13.26,12.05,12.56,6400,Angert,Gaultheria shallon,200,1600,27-01-2022,"Photo, cond OK; logfile jcg_gash_1"
3,20.15,5,4.95,7.18,11.39,9.61,15.22,14.52,14.85,6400,Angert,Gaultheria shallon,200,1600,27-01-2022,"Photo, cond OK; logfile jcg_gash_1"
3,20.11,10,10.04,11.57,15.04,13.51,17.64,17.5,17.65,6400,Angert,Gaultheria shallon,200,1600,27-01-2022,"Photo, cond OK; logfile jcg_gash_1"
3,20.35,15,15.09,16.04,18.7,17.46,20.15,20.6,20.58,6400,Angert,Gaultheria shallon,200,1600,27-01-2022,"Photo, cond OK; logfile jcg_gash_1"
