curveID,CO2_setpoint,Tblock_setpoint,HHMMSS,Obs,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,n
1,400,2,42005,8,524.0333333,0,8.949333333,0.582533333,339.8,2.17,0.456133333,9.457333333,6,1.42,1,2.84,4.887333333,9.457333333,1.99,400.2453333,370.9373333,0.665866667,7.144533333,7.854,84.26533333,199.7133333,1601,0.8,102.5,15.4,0.295,1,-0.22,2.74,1,0,0.16,111115,165
1,300,2,42558.2,23,1076.5,0,7.652666667,0.589266667,248,2.19,0.455,9.499333333,6,1.42,1,2.84,4.874,9.499333333,2.02,299.1386667,274.3393333,0.6658,7.188733333,7.86,84.86866667,199.7,1600,1,102.5,14.1,0.314,1,-0.22,2.74,1,0,0.16,111115,165
1,200,2,42824.26667,38,1343.033333,0,5.564666667,0.600066667,163,2.19,0.4482,9.418666667,6,1.42,1,2.84,4.83,9.418666667,2.02,199.7926667,181.8753333,0.664733333,7.189666667,7.874,85.15666667,199.7,1600,1,102.5,12.6,0.305,1,-0.22,2.74,1,0,0.16,111115,165
1,100,2,43045.73333,53,1564,0,2.7,0.608066667,83.11333333,2.19,0.4446,9.392,6,1.42,1,2.84,4.86,9.392,2.02,100.826,92.10933333,0.662066667,7.205933333,7.822,85.142,199.7,1600,1,102.5,11.1,0.294,1,-0.22,2.74,1,0,0.16,111115,165
1,50,2,43492.73333,68,2011,0,0.868933333,0.636666667,43.78,2.22,0.4332,9.345333333,6,1.42,1,2.84,4.850666667,9.345333333,2.023333333,49.60066667,46.68133333,0.663533333,7.280666667,7.848666667,86.09666667,199.7533333,1600,1,102.5,10.1,0.344,1,-0.22,2.74,1,0,0.16,111135,165
1,400,2,43921.53333,83,2440.466667,0,7.483333333,0.623933333,350.6666667,2.2,0.4368,9.297333333,6,1.42,1,2.84,4.85,9.297333333,2.02,400.8253333,375.8626667,0.653666667,7.212,7.732666667,85.28466667,199.7333333,1599,1.6,102.5,15.8,0.258,1,-0.22,2.74,1,0,0.16,111115,165
1,600,2,44300.8,98,2819.666667,0,8.043333333,0.6142,544.2,2.21,0.4446,9.442666667,6,1.42,1,2.84,4.868666667,9.442666667,2.044666667,601.012,573.0406667,0.648533333,7.245533333,7.657333333,85.58466667,199.7266667,1599,2,102.5,17.5,0.286,1,-0.22,2.74,1,0,0.16,111115,165
1,900,2,44879.6,113,3398.033333,0,8.105333333,0.616666667,839,2.2,0.440866667,9.354666667,6,1.42,1,2.84,4.852,9.354666667,2.02,899.8533333,869.756,0.649,7.212266667,7.672,85.26066667,199.7133333,1601,2,102.5,19.1,0.29,1,-0.22,2.74,1,0,0.16,111115,165
1,1200,2,45189.73333,128,3708.166667,0,7.77,0.620066667,1140,2.198666667,0.437933333,9.284,6,1.42,1,2.84,4.844,9.284,2.022666667,1201.084,1170.032,0.6406,7.1874,7.577333333,85.02133333,199.7533333,1601,2,102.5,19,0.268,1,-0.22,2.74,1,0,0.16,111115,165
1,1500,2,45498.06667,143,4016.966667,0,7.618,0.610866667,1430,2.19,0.4418,9.304,6,1.42,1,2.84,4.811333333,9.304,2.013333333,1500.25,1467.718,0.6416,7.1664,7.606,84.96666667,199.7533333,1600.933333,2,102.5,18.2,0.289,1,-0.22,2.74,1,0,0.16,111115,165
1,1800,2,46006.93333,158,4525.166667,0,7.157333333,0.6098,1730,2.19,0.443133333,9.327333333,6,1.42,1,2.84,4.837333333,9.327333333,2.02,1800.176,1767.040667,0.636133333,7.171333333,7.53,84.87666667,199.72,1600,2,102.5,16.8,0.305,1,-0.22,2.74,1,0,0.16,111115,165
2,400,10,46909.2,8,799.5,0,9.242666667,1.19,348,3.794666667,0.4568,14.67866667,6,1.42,1,2.84,11.8,14.67866667,10.03933333,399.488,367.532,0.637066667,11.90246667,4.701333333,87.80533333,199.7,1600,2,102.5,15.4,0.24,1,-0.22,2.74,1,0,0.16,111115,165
2,300,10,47277.26667,23,1168.033333,0,7.738666667,1.148666667,256.6666667,3.78,0.4666,14.71133333,6,1.42,1,2.84,11.85066667,14.71133333,10.05,299.232,272.89,0.6292,11.84,4.626,87.05666667,199.7,1599.4,2,102.5,14.4,0.217,1,-0.22,2.74,1,0,0.16,111115,165
2,200,10,47544.06667,38,1434.433333,0,5.51,1.216,170,3.8,0.451,14.632,6,1.42,1,2.84,11.87133333,14.632,10.09066667,199.9466667,181.3226667,0.627933333,11.91046667,4.608666667,87.428,199.7,1599.666667,2,102.5,12.8,0.277,1,-0.22,2.74,1,0,0.16,111115,165
