UniqueID,T_amb,T_setpoint,T_block,T_air,T_leaf,T_air_below,T_air_above,T_leaf_below,T_leaf_above,Licor_Type,Licor_name,Species,Flow,PAR,Date,Notes
1,20.09,0,0.29,3.47,9.47,7.11,9.32,,,6400,Angert,Empty,200,1600,04-01-2022,
1,20.03,5,4.96,7.29,12.08,10.25,11.94,,,6400,Angert,Empty,200,1600,04-01-2022,
1,19.94,10,10.04,11.74,15.32,14.05,15.32,,,6400,Angert,Empty,200,1600,04-01-2022,
1,20.03,15,15.1,16.04,18.43,17.67,18.59,,,6400,Angert,Empty,200,1600,04-01-2022,
1,20.22,20,19.97,20.35,21.63,21.36,21.84,,,6400,Angert,Empty,200,1600,04-01-2022,
1,20.17,25,25.04,24.73,24.72,24.99,24.88,,,6400,Angert,Empty,200,1600,04-01-2022,
1,20.14,30,30.11,29.08,27.66,28.54,28.11,,,6400,Angert,Empty,200,1600,04-01-2022,
1,20.22,35,34.99,33.4,30.71,32.16,31.22,,,6400,Angert,Empty,200,1600,04-01-2022,
1,20.07,40,40.06,37.82,33.58,35.84,34.36,,,6400,Angert,Empty,200,1600,04-01-2022,
1,19.94,45,45.14,42.51,36.82,39.87,37.65,,,6400,Angert,Empty,200,1600,04-01-2022,
1,20.23,50,49.81,46.61,39.05,43.28,40.56,,,6400,Angert,Empty,200,1600,04-01-2022,
2,19.97,0,0.65,3.75,11.66,6.77,13.02,,,6400,Angert,Thuja plicata,200,1600,07-01-2022,"No photo, No cond"
2,20.01,5,4.95,7.29,13.71,9.71,14.9,,,6400,Angert,Thuja plicata,200,1600,07-01-2022,"No photo, No cond"
2,20.19,10,10.03,11.73,16.55,13.62,17.5,,,6400,Angert,Thuja plicata,200,1600,07-01-2022,"No photo, No cond"
2,20.16,15,15.09,16.13,19.49,17.5,20.05,,,6400,Angert,Thuja plicata,200,1600,07-01-2022,"No photo, No cond"
2,20.27,20,19.97,20.4,22.19,21.2,22.51,,,6400,Angert,Thuja plicata,200,1600,07-01-2022,"No photo, No cond"
2,20.32,25,25.04,24.79,24.93,24.9,24.94,,,6400,Angert,Thuja plicata,200,1600,07-01-2022,"No photo, No cond"
2,20.34,30,30.12,29.22,27.62,28.65,27.32,,,6400,Angert,Thuja plicata,200,1600,07-01-2022,"No photo, No cond"
2,20.36,35,34.99,33.47,30.2,32.22,29.68,,,6400,Angert,Thuja plicata,200,1600,07-01-2022,"No photo, No cond"
2,20.74,40,40.06,38.08,33.14,36.23,32.35,,,6400,Angert,Thuja plicata,200,1600,07-01-2022,"No photo, No cond"
2,20.96,45,45.13,42.52,35.39,39.92,34.75,,,6400,Angert,Thuja plicata,200,1600,07-01-2022,"No photo, No cond"
2,20.81,50,49.81,46.9,37.86,43.91,37.41,,,6400,Angert,Thuja plicata,200,1600,07-01-2022,"No photo, No cond"
3,20.06,0,0.14,3.29,6.76,6.22,12.66,12.05,12.06,6400,Angert,Gaultheria shallon,200,1600,07-01-2022,"No photo, No cond"
3,20.03,5,4.95,7.42,10.35,9.91,15.06,14.91,14.83,6400,Angert,Gaultheria shallon,200,1600,07-01-2022,"No photo, No cond"
3,20.36,10,10.04,11.73,13.84,13.61,17.46,17.76,17.56,6400,Angert,Gaultheria shallon,200,1600,07-01-2022,"No photo, No cond"
3,20.27,15,15.09,16.07,17.67,17.46,19.97,20.83,20.48,6400,Angert,Gaultheria shallon,200,1600,07-01-2022,"No photo, No cond"
3,20.28,20,19.97,20.36,21.28,21.22,22.36,23.71,23.25,6400,Angert,Gaultheria shallon,200,1600,07-01-2022,"No photo, No cond"
3,20.23,25,25.04,24.79,25.02,25.05,24.8,26.72,26.11,6400,Angert,Gaultheria shallon,200,1600,07-01-2022,"No photo, No cond"
3,20.4,30,30.12,29.23,28.73,28.89,27.24,29.73,28.97,6400,Angert,Gaultheria shallon,200,1600,07-01-2022,"No photo, No cond"
3,20.38,35,34.99,33.47,32.16,32.47,29.47,32.45,31.59,6400,Angert,Gaultheria shallon,200,1600,07-01-2022,"No photo, No cond"
