"uniqueid","date","variable","parameter","unit","level","leaf.area.missing","tree","HHMMSS","Obs","YYYYMMDD","DOY","EBal.","Area","StmRat","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","n","FTime","CsMchSD","HsMchSD","CrMchSD","HrMchSD","BLC_1","fda","Photo","Trans","Tair_K","Twall_K","R.W.m2.","Tl.Ta","CTleaf","SVTleaf","h2o_i","h2odiff","CTair","SVTair","CndTotal","vp_kPa","VpdA","BLCond","Cond","CndCO2","Ci","Ci_Pa","Ci.Ca","RHsfc","C2sfc","AHs.Cs","Trmmol","VpdL","Site","Date","Time","Initials","Taxon","Notes","Plot","DatePhoto","Tag","TimeStart","index","DateSampled","DateMeasured","Treatment","Chamber","curveID","Campaign","chamber_leaf_area"
"plipo5",NA,"Coolers:","Tblock","C",14,FALSE,NA,"10:39:15",40.5,NA,NA,0,6,1,14.26,15.04,14.12,400.415,386.816,4.1248,8.1113,17.763,34.933,499.95,1500,199.1,70.26,-3.07,0.197,1,-0.22,2.74,1,0,0.16,111115,15,1887.25,NA,NA,NA,NA,1.42,1.42585444625012,17.1734860548793,0.00573065172435737,288.19,287.41,240,-0.248903241841065,15.04,1.715787178961,24.4205405488329,16.3092405488329,14.65,1.67319971484127,0.345659161397862,0.569899938,1.10329977684127,2.84,0.393559706564709,0.219884057612916,299.766623976213,21.0616030005687,0.774959218372386,40.373658503113,378.6525471218,0.0183111489934564,5.73065172435737,1.145887240961,"Pfeiler","2015-06-29",NA,NA,"Ligusticum porteri",NA,NA,NA,NA,"1899-12-31 09:04:00",NA,NA,NA,NA,NA,308,"RMBL_2015",3.506318624
"abasa1",NA,"Coolers:","Tblock","C",13.32,FALSE,NA,"11:11:02",10.5,NA,NA,0,6,1,15.39,18.564,13.32,400.331,370.291,0.0549,8.8054,0.24,38.215,499.91,1499,202,76.16,-3.12,0.266,1,-0.22,2.74,1,0,0.16,111115,15,499.75,NA,NA,NA,NA,1.42,0.833183333333333,22.3051392795337,0.00735553937156958,291.714,288.54,239.84,-1.4093531669297,18.564,2.14589359758489,28.1761239178688,19.3707239178688,16.977,1.94172819641336,0.372703311863631,0.670619264,1.27110893241336,2.84,0.429002940381273,0.237418430072194,266.478406250419,20.2949954200319,0.719645915824393,39.1482278022503,359.68820491994,0.0242767862723434,7.35553937156958,1.47527433358489,"Almont","2015-06-22",NA,NA,"Balsamorhiza sagittata",NA,NA,NA,NA,"1899-12-31 09:35:00",NA,NA,NA,NA,NA,158,"RMBL_2015",6
"pbcup3",NA,"Coolers:","Tblock","C",10,FALSE,NA,"12:13:18",25.5,NA,NA,0,6,1,11.441,15.561,10.01,399.469,382.992,3.3357,7.4594,16.833,37.646,499.9,1499,312.2,68.46,-2.89,0.25,0.97,-0.22,2.74,1,0,0.16,111115,15,367.75,NA,NA,NA,NA,1.42,0.833166666666666,12.4023410319536,0.00346155050427375,288.711,284.591,239.84,0.544233631943823,15.561,1.77416409041363,25.9153387439911,18.4559387439911,13.501,1.55308152480356,0.184427641098573,0.510670524,1.04241100080356,2.84,0.197236020272859,0.116353438689563,266.735420045657,18.2607068563257,0.696451555085031,32.2783608679938,377.096520988332,0.0106160538783439,3.46155050427375,1.26349356641363,"Painter Boy","2015-07-01",NA,NA,"Veratrum californicum",NA,NA,NA,NA,"1899-12-31 10:45:00",NA,NA,NA,NA,NA,293,"RMBL_2015",6
"pcup1",NA,"Coolers:","Tblock","C",15,FALSE,NA,"10:14:17",40.5,NA,NA,0,6,1,15.524,17.263,15.1,399.865,384.641,4.867,8.8214,19.336,35.045,499.95,1499.6,64,70.31,-2.66,0.269,1,-0.22,2.74,1,0,0.16,111115,15,1455.75,NA,NA,NA,NA,1.42,0.83325,11.4067247758229,0.00332432900311074,290.413,288.674,239.936,0.899453106744219,17.263,1.97720966715662,28.12131513521,19.29991513521,16.3935,1.87106755076737,0.169064193117049,0.620232634,1.25083491676737,2.84,0.179765575750439,0.106577142636312,267.443290079261,18.8039377254728,0.695306220936592,34.2399869115661,379.218789279098,0.0102992300398295,3.32432900311074,1.35697703315662,"Pfeiler","2015-06-28",NA,NA,"Veratrum californicum","Not yet flowering.",NA,NA,NA,"1899-12-31 08:45:00",NA,NA,NA,NA,NA,297,"RMBL_2015",6
"pbvaoc2",NA,"Coolers:","Tblock","C",17,FALSE,NA,"13:54:26",40.5,NA,NA,0,6,1,17.593,18.472,17.02,398.911,378.719,4.4023,10.4808,14.918,35.517,499.87,1499.7,26,68.42,-2.2,0.255,1,-0.22,2.74,1,0,0.16,111115,15,1868.25,NA,NA,NA,NA,1.42,0.833116666666667,14.8841070018152,0.00511773770639443,291.622,290.743,239.952,0.0586583748887124,18.472,2.13356376184659,31.1833347244459,20.7025347244459,18.0325,2.07551466766493,0.24205389376,0.717096336,1.35841833166493,2.84,0.264606392258882,0.153160181193264,270.689021265244,18.520542834968,0.714748989819811,37.9766060372537,371.643808291391,0.0152093891398807,5.11773770639443,1.41646742584659,"Painter Boy","2015-07-01",NA,NA,"Valeriana occidentalis","Not yet flowering.",NA,NA,NA,"1899-12-31 12:15:00",NA,NA,NA,NA,NA,295,"RMBL_2015",6
"plipo2",NA,"Coolers:","Tblock","C",13,FALSE,NA,"15:45:18",26.5,NA,NA,0,6,1,14.846,18.41,13.101,399.785,388.855,6.4335,9.0698,26.686,37.623,499.8,1499,283.7,70.29,-1.08,0.379,1,-0.22,2.74,1,0,0.16,111115,16,1817.75,NA,NA,NA,NA,1.42,2.04879392443288,20.2737965514678,0.00545067192884009,291.56,287.996,239.84,-0.453059556505271,18.41,2.12528947106256,30.2360146686949,21.1662146686949,16.628,1.8991889681319,0.252456669360022,0.637516242,1.2616727261319,2.84,0.277087912589418,0.159827761929965,251.094879599897,17.6494590870767,0.64572867577176,34.9408986467339,379.217807977295,0.0186801911974992,5.45067192884009,1.48777322906256,"Pfeiler","2015-06-27",NA,NA,"Ligusticum porteri",NA,NA,NA,NA,"1899-12-31 02:12:00",NA,NA,NA,NA,NA,305,"RMBL_2015",2.439484001
"rartr2",NA,"Coolers:","Tblock","C",13,FALSE,NA,"11:00:03",10.5,NA,NA,0,6,1,15.12,17.904,13.12,399.553,392.205,5.8588,8.2979,24.887,35.249,499.85,1501,231,73.25,-3.13,0.302,1,-0.22,2.74,1,0,0.16,111115,15,1151.25,NA,NA,NA,NA,1.42,4.79679602239329,30.6197062177639,0.0117977622196908,291.054,288.27,240.16,-3.69894486819627,17.904,2.05880630491211,28.1065707155236,19.8086707155236,16.512,1.8852320716926,0.584744842686537,0.607821175,1.2774108966926,2.84,0.736358201045261,0.37661233895032,300.058826634533,21.9793090509795,0.765056074278188,42.9963331798087,377.649857959866,0.0348613007570921,11.7977622196908,1.45098512991211,"Road","2015-06-24",NA,NA,"Artemisia tridentata",NA,NA,NA,NA,"1899-12-31 09:36:00",NA,NA,NA,NA,NA,312,"RMBL_2015",1.04204973
"rpoga3",NA,"Coolers:","Tblock","C",11.27,FALSE,NA,"15:54:34",25.5,NA,NA,0,6,1,14.006,18.093,11.375,399.409,386.812,4.9316,8.0753,22.51,36.856,499.81,1501.1,6,73.25,0.967,0.33,1,-0.22,2.74,1,0,0.16,111115,30,1011.75,NA,NA,NA,NA,1.42,1.47404945895866,16.7615341801233,0.00467169459958682,291.243,287.156,240.176,-0.100992303587659,18.093,2.08342367083286,28.4426439704145,20.3673439704145,16.0495,1.83047656738399,0.225184378436939,0.591515725,1.23896084238399,2.84,0.244577017329337,0.14236289014332,258.486058998973,18.9341038216748,0.668247230552292,32.8432005518332,378.844369315786,0.0145311449630349,4.67169459958682,1.49190794583286,"Road","2015-06-26",NA,NA,"Potentilla gracilis",NA,NA,NA,NA,"1899-12-31 02:33:00",NA,NA,NA,NA,NA,321,"RMBL_2015",3.390727475
"063016-stm-sage1",NA,"Coolers:","Tblock","C",10,FALSE,NA,"17:19:39",40.5,NA,NA,0,6,1,11.213,15.914,10.01,399.947,393.514,5.5854,6.8481,30.484,37.376,200.21,1699,10,72.93,2.1,0.0714,1,-0.22,2.74,1,0,0.16,111115,15,578.75,NA,NA,NA,NA,1.42,1.81843778383288,10.7882303387978,0.002311974234091,289.064,284.363,271.84,1.46449393731042,15.914,1.81470250461059,24.8827986371944,18.0346986371944,13.5635,1.55941493856115,0.126162181083601,0.499431933,1.05998300556115,2.84,0.132027277474286,0.0793581330135391,248.221978944524,18.1028289244241,0.630782916622539,29.624657974846,388.385791916417,0.00822881558823481,2.311974234091,1.31527057161059,"Road","2016-06-29",NA,NA,"Artemisia","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,21,"RMBL_2016",1.101
"abasa4",NA,"Coolers:","Tblock","C",22,FALSE,NA,"08:45:28",70.5,NA,NA,0,6,1,20.953,18.803,22.15,400.874,382.286,7.8801,11.8347,24.179,36.31,499.99,1501,39,76.36,-5.52,0.169,1,-0.22,2.74,1,0,0.16,111115,15,1839.3,NA,NA,NA,NA,1.42,0.833316666666667,14.21480060514,0.00333490184996676,291.953,294.103,240.16,1.39051699955318,18.803,2.1782171329875,28.5256303429478,16.6909303429478,19.878,2.32894329600977,0.195771173647523,0.903697692,1.42524560400977,2.84,0.210265517426282,0.123581577406018,258.61479271684,19.7478255718579,0.676495493165781,44.3993651574919,375.528964501078,0.0168063839530397,3.33490184996676,1.2745194409875,"Almont","2015-06-23",NA,NA,"Balsamorhiza sagittata",NA,NA,NA,NA,"1899-12-31 07:00:00",NA,NA,NA,NA,NA,161,"RMBL_2015",6
