"obs","time","elapsed","date","hhmmss","TIME","E","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Leak","LeakPct","CorrFact","CorrFactPct","Fan","DarkAdaptedID","Fo","Fm","Fv","Fv.Fm","Adark","LightAdaptedID","Fs","Fm.","PhiPS2","PS2.1","Qabs_fs","Afs","ETR","Fv..Fm.","PhiCO2","NPQ","DarkPulseID","Fo.","Fv.","qP","qN","qP_Fo","qN_Fo","ID","P1_dur","P2_dur","P3_dur","P1_Qmax","P1_Fmax","P2_dQdt","P3_ΔF","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","TIME.1","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","F_avg","dF.dt","dF_dc.dt","F_dc_avg","period","time.1","hhmmss.1","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2.MN","ΔCO2.SLP","ΔCO2.SD","ΔCO2.OK","F.MN","F.SLP","F.SD","F.OK","ΔH2O.MN","ΔH2O.SLP","ΔH2O.SD","ΔH2O.OK","Stable","Total","State","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_.","Desiccant_.","Humidifier_.","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","X","filename","blc_a","blc_b","blc_c","blc_d","blc_e","blc_maxS","blc_minS","blc_Po","deltaTw","fT1","fT2","fTeb","curveID","Species","binomial","leaf_id","averaging","leafRep","Emm","Qmax_d","A_dark","Qmax","A_fs","alt..Fo.","Fmin","qL","X1.qL"
6,1623262274.5,3003,"20210609 11:11:14","11:11:14",1623262266.5,0.00927056950286187,23.6354167375682,387.342451612903,348.924418827589,35.2444203571095,39.1249779326683,1.37241907120313,2.94523723214321,1.09405290261139,0.704050191384188,116.394794177417,17.7338460837228,17.3021580645161,1.98211159147981,50.2156480947059,1.13942890979822,2.26907140110842,0.842682681681593,-408.832115076208,342.391799302699,22.9879854929956,72.9424638969036,11,2,1,0,54738,"-",0,0,0,0,0,"-",0,0,0,0.5,0,0,0,0,0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,600.013161290323,505.207202249999,0.841993534214409,0.193987068428818,6,0.5,"0: Broadleaf",2,1623262266.5,387.342451612903,420.013,11.2804967741935,0.28164664516129,388.218967741935,11.2776064516129,500.015516129032,100.908774193548,0.0999785774193548,19.4585,17.3021580645161,999.9,0,0,9998.83387096774,0,2.64677,600.013161290323,0.932986290322581,0.0670141806451613,0,1016.72580645161,4.99912,5821.51838709677,3805.62741935484,28.4030322580645,30.157,29.9514193548387,31.0924838709677,30.6911935483871,555.138709677419,39.8712903225806,0,1623262279.8,0,1016.7428,2.52538461362722,11.2953846829929,5821.7192,15,1623261745,"11:02:25",1623261733.5,1623261745,7,0.009,-0.002,-0.877,0.003,420,0,0.12,0.02,-32.67459,0.164965103189615,0.0235580326003679,1,1016.64848484848,2.13430237471425,0.279817269509742,1,10.9979,0.0253328330206224,0.00267450930078779,1,3,3,"3/3",100,100,-0.876,0.0028,-0.876549999999952,0,0,0,0.00288657142857141,0,0,0,-1,-1,-1,-1,9,8.8,2,477.484,586.602,23.0005,13.5077,30.0002,13.3836,13.3422,20.4062,100,0,23,420,0,103.23,101.866,NA,"2021-06-09-0952_rasa_5C",0.578,0.5229739,0.003740252,-0.06197961,-0.005608586,6,1,96.9,0,1,0,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1615831196.6,761.099999904633,"20210315 10:59:56","10:59:56",1615831188.85,0.00710249316632007,23.9969759949808,387.904333333333,316.49157403412,32.107892275298,39.3526765627108,0.655986401720852,2.95102161037826,0.584457678247509,0.371060575368405,116.388944713852,18.101897800981,18.1388,2.08942608880212,39.0214418214608,0.874593946841049,2.24131632768127,1.21483214196107,-313.219948634715,178.493988576482,11.9997516010959,-6.33726374328549,11,2,1,0,55060,"-",0,0,0,0,0,"-",0,0,0,0.5,0,0,0,0,0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,599.985533333333,505.183694690259,0.841993125873578,0.193986251747156,6,0.5,"0: Broadleaf",2,1615831188.85,387.904333333333,420.005333333333,8.62098366666667,0.1718571,379.228333333333,8.57098366666667,500.023,101.2494,0.200037866666667,19.26073,18.1388,999.9,0,0,9998,0,1.97437666666667,599.985533333333,0.9329985,0.06700183,0,925.307633333333,4.99951,5445.87266666667,4813.97966666667,36.687,40.5537333333333,39.2353,39.875,38.6933,555.121333333333,39.8613333333333,0,1615831196.8,0,925.343076923077,1.34078630889116,14.2984615360266,5446.07961538461,15,1615831237.1,"11:00:37",1615831222.1,1615831237.1,2,0.073,0.004,8.676,0.05,420,0,0.24,0.02,-32.4037775,-0.0577969981238126,0.0860080184851975,1,925.293121212121,1.25819234344496,0.209451919350821,1,8.54914675,-0.0149537335835051,0.00357107503946644,1,3,3,"3/3",100,100,8.676,0.05,4.92825965684877,0.0108526537256606,-5.18283962051755e-06,1.2498934349691e-09,0.0448416006530145,0.00964955815971448,0.000351754833574242,-6.74969522547015e-06,11,2000,1,24,12.3,12.1,2,494.048,523.967,14.9999,26.6859,29.9998,26.8354,26.8036,20.6353,100,0,15,420,0,100.035,100.45,NA,"2021-03-15-1023_rasa_20C",0.578,0.5229739,0.003740252,-0.06197961,-0.005608586,6,1,96.9,0,1,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1616535319,2402.40000009537,"20210323 16:35:19","16:35:19",1616535311.25,0.0058553462231711,21.3916077255847,402.176766666667,307.590977531979,31.4366091534401,41.103526266403,0.423868359958414,2.964837592301,0.392852443562864,0.248130040257165,116.392169660956,19.6027904557545,18.6936966666667,2.16338173801855,27.4288009311669,0.661131759626674,2.41035603884324,1.50224997839188,-258.220768441845,278.09392578318,18.7744210314175,155.039748033708,0,0,1,0,55261,"-",0,0,0,0,0,"-",0,0,0,0.5,0,0,0,0,0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,600.0004,505.196382830478,0.84199341005519,0.19398682011038,6,0.5,"0: Broadleaf",2,1616535311.25,402.176766666667,419.9866,6.46883266666667,2.10573966666667,398.798466666667,6.451834,800.0016,102.1023,0.10033743,20.43352,18.6936966666667,999.9,0,0,9992.48366666667,0,0.221023,600.0004,0.932998,0.0670025,0,1138.27866666667,4.99999,6718.833,5133.37933333333,34.5704,37.8078666666667,36.437,37.8832666666667,37.312,555.133666666667,39.8683333333333,0,1616535330,0,1138.31,2.6167521267142,16.7162392855099,6718.71269230769,15,1616534783,"16:26:23",1616534775,1616534783,18,0.018,-0.001,3.378,0.017,420,0,0.09,0.02,-17.815695,0.0791302063789924,0.018215295084077,1,1138.08171428571,3.59722553497916,0.414111687586729,1,4.36291125,0.0090437898686607,0.00136758215018328,1,3,3,"3/3",100,100,3.379,0.017,3.37820000000011,0,0,0,0.0169988,0,0,0,-1,-1,-1,-1,9.1,8.9,2,860.467,629.894,21.0011,17.6354,30.0003,17.5155,17.5246,24.9351,66.8599,0,21,420,2.13238,102.534,103.537,NA,"2021-03-23-1544_boof_10C",0.578,0.5229739,0.003740252,-0.06197961,-0.005608586,6,1,96.9,0,1,0,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1606167266.6,853.099999904633,"20201123 15:34:26","15:34:26",1606167258.85,0.00405513524078427,19.1220563634925,395.117633333333,289.056904785275,29.104759149311,39.783874259482,0.32563092428857,2.94018351619617,0.306839988014397,0.193372860854763,116.39061527321,15.8200110371289,15.8200110371289,1.80382909468499,26.4383255869808,0.488293931591581,1.84691700684719,1.31553516309341,-178.831464118586,58.5887356357696,3.84473430770506,-0.00737890190151802,4,1,1,0,55222,"-",0,0,0,0,0,"-",0,0,0,0.5,0,0,0,0,0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,599.994466666667,505.191185303272,0.841993073886023,0.193986147772046,6,0.5,"0: Broadleaf",2,1606167258.85,395.117633333333,419.986333333333,4.84954133333333,0.00707002933333334,397.122633333333,4.96054133333333,500.009533333333,100.635966666667,0.05271666,16.18963,15.1198033333333,999.9,0,0,9997.165,0,0.001910533,599.994466666667,0.9330104,0.0669895666666667,0,1048.83233333333,4.99916,6037.78066666667,5056.92933333333,34.4329333333333,38.6912,36.7623333333333,37.9329333333333,36.4163333333333,555.137333333333,39.8613333333333,0,1606167272.8,0,1048.85538461538,-1.64034187716284,-12.297094032401,6037.94115384615,15,1606167307.1,"15:35:07",1606167293.6,1606167307.1,12,0.081,0,-2.005,-0.111,420,0,0.05,0.03,-24.9071512195122,0.0453261324041677,0.0285220250534026,1,1048.88676470588,-1.02484537373014,0.21255754360307,1,5.30423731707317,0.0180445296167061,0.00191959094269316,1,3,3,"3/3",100,100,-2.005,-0.111,-1.38241152071635,-0.00181141279402287,4.19476790672773e-07,-1.79954926950479e-10,-0.120865589091617,0.083250285742971,0.00261849381797789,-3.84268067825068e-05,6,2051,1,23,13.8,13.5,2,486.758,462.164,11.0005,24.0761,30,24.131,24.1199,20.8364,99.1602,0,11,420,0,103.18,101.174,NA,"2020-11-23-1504_rasa_25C",0.578,0.5229739,0.003740252,-0.06197961,-0.005608586,6,1,96.9,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1625596856.1,0,"20210706 13:40:56","13:40:56",1625596848.1,0.00051393781014456,6.04662472758064,410.613548387097,152.575813213361,15.3803386847488,41.3917206779601,0.0386300725152036,2.94118843845816,0.0383504011759044,0.0239939591665182,169.22927973157,18.1860347214462,17.6790903225806,2.02984596823433,35.1377115827362,0.697226131724799,1.98426733079384,1.33261983650953,-22.6646574273751,-57.0420948021587,-3.80030896774332,85.722218534293,0,0,1,0,55109,"-",0,0,NA,0,NA,"-",0,0,0,0.5,0,NA,0,0,0,0,"-",0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1045.98580645161,879.814577430698,0.841134336626774,0.161789269689673,6,0.5,"0: Broadleaf",2,1625596848.1,410.613548387097,419.999838709677,6.91661258064516,6.1510535483871,408.605548387097,6.97961258064516,400.008161290323,100.704580645161,0.0999856935483871,17.3193516129032,17.6790903225806,999.9,0,0,9996.06677419355,0,0.221023,1045.98580645161,0.962004870967742,0.0379954290322581,0,1037.63096774194,4.99999,10876.8741935484,9072.0764516129,40.687,43.8241935483871,42.375,43,42.562,1001.43580645161,39.55,0,1625596860.5,0,1037.57730769231,-5.15999999885843,-47.6923075491084,10876.5153846154,15,1625596878.1,"13:41:18",1625596873.1,1625596878.1,3,0.061,0.019,2.008,-0.063,420,6,0.1,0.08,-9.46215341463415,0.176902787456451,0.0472306541430384,1,1037.77181818182,-4.48131496661505,0.458617517707527,1,0.749092975609756,-0.00887872473867519,0.00104223195039756,1,3,3,"3/3",100,100,2.008,-0.063,1.15607365540433,0.00225868272383977,-9.96746185667655e-07,2.83711317370827e-10,-0.0863062018674947,-0.00217948432402501,0.000453263451741206,-1.16319206543697e-06,-2,2196,1,25,80.3,80.2,18,391.819,566.105,9.25067,28.0274,30.0002,27.8855,27.8457,19.942,60.8996,0,9.25,420,6.17812,101.143,101.777,NA,"2021-07-06-1252_tito_step_r1",0.578,0.5229739,0.003740252,-0.06197961,-0.005608586,6,1,96.9,0,1,0,0,46,NA,NA,NA,15,NA,0.51393781014456,"-",0,"-",0,0,0,0,1
2,1616094646.1,600.599999904633,"20210318 12:10:46","12:10:46",1616094638.1,0.00625709937060624,7.50769591579326,404.94829032258,377.007374629713,37.7094110259765,40.504145413704,0.627673074388487,2.92913230561359,0.561418519544962,0.356254718876004,116.383522939162,18.2453318951345,17.905735483871,2.05903108862302,43.0663597146513,0.961088512126359,2.23164557788105,1.09794257649666,-275.938082243735,203.012957207197,13.7287386304223,57.1871365330465,0,0,1,0,53883,"-",0,0,0,0,0,"-",0,0,0,0.5,0,0,0,0,0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,599.956387096774,505.159269856678,0.841993319383055,0.19398663876611,6,0.5,"0: Broadleaf",2,1616094638.1,404.94829032258,420.009935483871,9.60867451612903,0.313580161290323,396.690387096774,9.44587903225806,400.015967741935,99.9230225806452,0.0999837677419355,19.1913161290323,17.905735483871,999.9,0,0,10005.3225806452,0,2.14852,599.956387096774,0.932993258064516,0.0670064419354839,0,743.586258064516,4.99951,4288.82032258064,4813.73677419355,35.4715483870968,39.5,37.995935483871,38.75,37.6006129032258,555.089677419355,39.8632258064516,0,1616094647,0,743.554307692308,-2.31535042799082,-7.27760681471934,4288.90192307692,15,1616094116.5,"12:01:56",1616094091.5,1616094116.5,3,0.013,0.001,8.368,0.049,420,0,0.56,0.02,-15.066635,0.175879924953094,0.0831112012607207,1,743.662242424243,-1.97647633210854,0.243929203626797,1,9.2944185,0.0106210131331732,0.00542085904170176,1,3,3,"3/3",100,100,8.259,0.1629,4.69025333682681,0.0108526537256606,-5.18283962051755e-06,1.2498934349691e-09,0.0459508627666209,0.00964955815971448,0.000351754833574242,-6.74969522547015e-06,11,2000,1,24,9.2,8.8,2,393.889,635.489,14.9999,26.5159,29.9995,26.7072,26.6738,19.9382,100,0,15,420,0,100.106,100.463,NA,"2021-03-18-1121_boof_30C",0.578,0.5229739,0.003740252,-0.06197961,-0.005608586,6,1,96.9,0,1,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1620247642.6,0,"20210505 13:47:22","13:47:22",1620247634.85,0.00249534478779869,9.29072830147463,411.755266666667,315.407412684215,31.81083373015,41.5281245737902,0.17397873241927,3.0233566432215,0.168602069694651,0.105845524117558,116.394751683406,15.3598302620591,15.20675,1.73428439804217,14.66950347033,0.256320980725712,1.74730508939269,1.47796341731645,-110.044705141922,18.9797047953442,1.20195142250506,26.5317027593332,4,2,1,0,55466,"-",0,0,0,0,0,"-",0,0,0,0.5,0,0,0,0,0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,600.016533333333,505.209693175036,0.841992953708114,0.193985907416228,2,0.5,"0: Broadleaf",2,1620247634.85,411.755266666667,419.998066666667,2.54144666666667,0.553081,403.360266666667,2.50344666666667,250.356666666667,100.756266666667,0.100062166666667,15.3231933333333,15.20675,999.9,0,0,9998.5,0,1.9789,600.016533333333,0.933006,0.06699418,0,334.355333333333,4.99927,2007.672,5533.612,36.687,40.75,39.1954,40.1291333333333,38.8246,555.154666666667,39.86,0,1620247642.7,0,334.34232,-1.71061539228148,-7.63307689612024,2007.6144,15,1620247677,"13:47:57",1620247660.6,1620247677,11,-0.028,0.098,8.395,0.038,420,1,1.24,0.06,-8.2776355,0.36155144465293,0.19401898377414,1,334.394647058823,-0.766077768385981,0.18653904848314,1,1.91636625,-0.0951724953095678,0.00972444849014586,1,3,3,"3/3",100,100,8.395,0.038,4.74626962500397,0.0108526537256606,-5.18283962051755e-06,1.2498934349691e-09,-0.0650409730630154,0.00964955815971448,0.000351754833574242,-6.74969522547015e-06,11,2000,1,24,43.6,43.4,2,227.25,418.54,8.87462,26.7409,30.0002,26.7251,26.6537,15.6015,96.5683,0,9,420,0.410497,100.186,100.541,NA,"2021-05-05-1317_rep_11_long",0.572,0.3872742,-0.01870584,0,-0.00737389,2,1,96.9,0,1,0,0,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1623802465.6,4698.09999990463,"20210615 17:14:25","17:14:25",1623802457.85,0.000734877708755301,5.8580212202884,411.3487,211.228741408909,21.3934047754999,41.6617037259142,0.0489994344867814,3.39045308270589,0.0486093992770375,0.0304156587127738,116.391190714465,20.9393741777553,19.7040933333333,2.30395701171438,32.8866795910328,0.796227304833575,2.42112403786329,1.50772970688081,-32.4081069561088,146.533528786863,8.69882601143911,239.215438556658,0,0,1,0,54454,"-",0,0,0,0,0,"-",0,0,0,0.5,0,0,0,0,0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,599.994366666667,505.191398523899,0.841993569590569,0.193987139181137,4.23,0.5,"0: Broadleaf",2,1623802457.85,411.3487,420.022633333333,7.861586,6.83498733333333,411.7277,7.922586,300.418733333333,101.180733333333,0.10001394,20.50576,19.7040933333333,999.9,0,0,10008.829,0,2.66492366666667,599.994366666667,0.932995533333334,0.06700486,0,606.411133333333,4.99912,3477.158,3805.51866666667,29.0748,32.0289333333333,31.0414,32.2705333333333,31.5371333333333,555.128666666667,39.8713333333333,0,1623802465.7,0,606.425076923077,0.226529912098117,-5.42495729818375,3477.29846153846,15,1623802485.1,"17:14:45",1623802483.6,1623802485.1,6,-0.089,-0.022,-0.379,-0.061,420,7,0.12,0.07,-8.561307,-0.203822589118183,0.0746190854004524,1,606.418272727273,0.128377339430209,0.158521439660245,1,1.04835575,0.00472378986866479,0.000693872781927621,1,3,3,"3/3",100,100,-0.379,-0.061,-0.289499999999975,0,0,0,-0.0390880952380948,0,0,0,-1,-1,-1,-1,11.1,11.1,2,262.323,385.017,23.0011,13.5965,30.0005,13.445,13.3914,14.9673,16.6627,26.4034,23,420,6.83874,102.976,101.441,NA,"2021-06-15-1554_hovu_2.5C",0.578,0.5229739,0.003740252,-0.06197961,-0.005608586,6,1,96.9,0,1,0,0,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1625597704.6,666,"20210706 11:55:04","11:55:04",1625597696.6,0.00046724768050764,5.25316107068073,411.844967741935,130.475874331523,13.1411700919395,41.4798889092292,0.0307445988124543,2.93991525181737,0.0305670921435492,0.0191202952792275,169.234144345921,20.9045822383252,19.9243838709677,2.33564743971442,34.894656184343,0.820206772667291,2.35052257954418,1.51544066704713,-20.6056227103869,16.2459128832382,1.11074671503915,165.985181233812,0,0,1,0,54613,"-",0,0,NA,0,NA,"-",0,0,0,0.5,0,NA,0,0,0,0,"-",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1046.01580645161,879.839817127253,0.841134342043954,0.161789280144831,6,0.5,"0: Broadleaf",2,1625597696.6,411.844967741935,420.012806451613,8.14365806451613,7.44854129032258,422.673967741935,9.37065806451613,400.027096774194,100.617225806452,0.100015287096774,20.0268838709677,19.9243838709677,999.9,0,0,9997.50096774194,0,1.80551709677419,1046.01580645161,0.962009967741936,0.0379903419354839,0,1014.82193548387,4.99912,10469.4612903226,6712.92677419355,38.5763870967742,41.169,40.3385483870968,40.8928709677419,40.1791612903226,1001.46451612903,39.5512903225806,0,1625597706.2,0,1014.7664,-3.10230768429863,-28.4923075376495,10468.724,15,1625597727.6,"11:55:27",1625597727.6,1625597723.6,4,0.027,-0.011,-10.829,-1.227,420,7,0.39,0.14,-8.18949225,0.169186604127582,0.0764025487954263,1,1014.92970588235,-2.88046575685207,0.33410534877946,1,0.688451225,-0.0162777523452172,0.00182497943121971,1,3,3,"3/3",100,100,-10.829,-1.227,-10.8586986835917,0.000485247639819423,-1.36446825205216e-06,5.78542989185787e-10,-0.883043462098318,-0.0508365997127688,0.00161886503163497,-2.08621555845513e-05,0,2096,2,28,10.8,10.8,18,379.923,650.279,14.9997,26.9106,29.9997,27.0961,27.0797,21.3555,49.4425,0,15,420,7.4443,101.682,97.0118,NA,"2021-07-06-1053_tito_step_r4",0.578,0.5229739,0.003740252,-0.06197961,-0.005608586,6,1,96.9,0,1,0,0,45,NA,NA,NA,15,NA,0.46724768050764,"-",0,"-",0,0,0,0,1
5,1616618217.5,2402.5,"20210324 15:36:57","15:36:57",1616618209.75,0.00241766360533142,16.6878600546008,404.092266666667,228.073254298442,22.818004898397,40.4281481779484,0.162055322232441,3.57229755278855,0.158079208907555,0.0991486181298597,116.391426876437,20.4577212784903,19.5298833333333,2.27916308357029,32.0914744215459,0.77238199651467,2.4068136800723,1.50678108705562,-106.618964995116,169.442348941947,9.53355850619108,188.748369329459,0,0,1,0,53981,"-",0,0,0,0,0,"-",0,0,0,0.5,0,0,0,0,0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,599.9962,505.192882438219,0.841993470022341,0.193986940044682,3.6,0.5,"0: Broadleaf",2,1616618209.75,404.092266666667,419.989566666667,7.720205,5.561247,400.923266666667,7.725502,400.0261,99.9467433333333,0.100081396666667,20.4096933333333,19.5298833333333,999.9,0,0,9992.71,0,0.221023,599.9962,0.932997533333334,0.0670021433333333,0,732.039533333333,4.99999,4362.45166666667,5133.34466666667,34.5124,37.812,36.4101333333333,37.812,37.2541333333333,555.129666666667,39.8693333333333,0,1616618229.3,0,732.028730769231,-0.253709403045321,-0.0314530461369221,4362.36692307692,15,1616617992.5,"15:33:12",1616617986.5,1616617992.5,6,-0.186,-0.024,3.169,-0.005,420,5,0.11,0.03,-15.890465,-0.11927504690431,0.0273689929482251,1,732.092823529412,-1.11568021179335,0.230817023353775,1,2.157854,0.0192330956847977,0.00217487792760881,1,3,3,"3/3",100,100,3.169,-0.0053,3.16905000000003,0,0,0,-0.00529750000000018,0,0,0,-1,-1,-1,-1,3.9,3.8,2,381.771,674.326,21.0011,17.6306,30.0002,17.6031,17.6066,19.8823,21.6238,12.4369,21,420,5.5959,102.578,103.551,NA,"2021-03-24-1410_hovu_10C",0.578,0.5229739,0.003740252,-0.06197961,-0.005608586,6,1,96.9,0,1,0,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
