"uniqueid","level","HHMMSS","variable","parameter","unit","Obs","FTime","EBal?","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","n"
"1",0.4,54276,NA,NA,NA,8,1610.2,0,2.04666666666667,0.0284266666666667,272.4,0.286,1.02,10.828,6,1.42,1,2.84,3.53466666666667,10.828,0.466666666666667,400.352,393.865333333333,1.9072,2.76386666666667,24.4593333333333,35.4486666666667,199.76,1600,1,101.4,20.5,0.534,1,-0.22,2.74,1,0,0.16,111115,15
"1",5,54744,NA,NA,NA,23,2078.2,0,2.45733333333333,0.03158,260.066666666667,0.3606,1.16,13.3653333333333,6,1.42,1,2.84,7.26666666666667,13.3653333333333,4.95,399.418666666667,391.61,2.67433333333333,3.75326666666667,26.4626666666667,37.138,199.766666666667,1599,0.333333333333333,101.3,20.5,0.599,1,-0.22,2.74,1,0,0.16,111115,15
"1",10,55460.3333333333,NA,NA,NA,38,2793.66666666667,0,2.946,0.0381333333333333,257.533333333333,0.535333333333333,1.42666666666667,16.728,6,1.42,1,2.84,11.79,16.728,10.03,399.357333333333,389.882,3.19046666666667,4.7912,23.2913333333333,34.9813333333333,199.766666666667,1600,0,101.326666666667,20.8,0.646,0.82,-0.22,2.74,1,0,0.16,111115,15
"1",15,56073.2666666667,NA,NA,NA,53,3407.03333333333,0,3.318,0.0396,245,0.6634,1.69733333333333,19.9213333333333,6,1.42,1,2.84,16.186,19.9213333333333,15.1,399.995333333333,389.251333333333,4.327,6.3074,23.7526666666667,34.624,199.733333333333,1599,0,101.4,21,0.711,1,-0.22,2.74,1,0,0.16,111115,15
"1",20,56713.4,NA,NA,NA,68,4047.53333333333,0,3.372,0.0365933333333333,230.066666666667,0.73,2.01,22.98,6,1.42,1,2.84,20.43,22.98,19.97,400.032666666667,389.048,5.7664,7.94273333333333,24.25,33.402,199.7,1598.73333333333,0,101.3,21.3,0.761,1,-0.22,2.74,1,0,0.16,111115,15
"1",25,57276.6666666667,NA,NA,NA,83,4610.96666666667,0,3.14,0.0295066666666667,207.266666666667,0.697666666666667,2.37,26.054,6,1.42,1,2.84,24.812,26.054,25.04,400.62,390.370666666667,7.97506666666667,10.0496,25.7,32.3873333333333,199.7,1600,0,101.3,21.6,0.819,1,-0.22,2.74,1,0,0.16,111115,15
"1",30,57813.8666666667,NA,NA,NA,98,5147.33333333333,0,2.91466666666667,0.0252933333333333,191.333333333333,0.761533333333333,3,29.058,6,1.42,1,2.84,29.22,29.058,30.12,400.706666666667,391.056666666667,7.95586666666667,10.2208666666667,19.796,25.4306666666667,199.646666666667,1600,0,101.3,21.9,0.821,1,-0.22,2.74,1,0,0.16,111115,15
"1",35,58410.2666666667,NA,NA,NA,113,5743.86666666667,0,2.402,0.01964,177.933333333333,0.761,3.84,32.362,6,1.42,1,2.84,33.61,32.362,34.99,400.539333333333,392.424,7.9318,10.1956666666667,15.3753333333333,19.7633333333333,199.626666666667,1599.13333333333,0.4,101.3,22.5,0.827,1,-0.22,2.74,1,0,0.16,111115,15
"1",40,58973.7333333333,NA,NA,NA,128,6307.73333333333,0,2.38266666666667,0.01996,178.2,0.931133333333333,4.6,35.1093333333333,6,1.42,1,2.84,38.056,35.1093333333333,40.064,400.095333333333,391.836666666667,7.89346666666667,10.6612666666667,11.98,16.1793333333333,199.673333333333,1600.8,0,101.3,22.8,0.821,1,-0.22,2.74,1,0,0.16,111115,15
"1",45,59623.8,NA,NA,NA,143,6957.66666666667,0,2.06733333333333,0.0190333333333333,190.333333333333,1.08,5.56,38.064,6,1.42,1,2.84,42.63,38.064,45.13,399.34,391.854,7.84626666666667,11.052,9.33,13.144,199.666666666667,1600,0,101.4,23.2,0.821,1,-0.22,2.74,1,0,0.16,111115,15
"1",50,60185.2,NA,NA,NA,158,7519.4,0,1.814,0.02594,247.333333333333,1.644,6.2,40.1906666666667,6,1.42,1,2.84,46.7433333333333,40.1906666666667,49.8133333333333,400.214666666667,392.821333333333,7.8272,12.7061333333333,7.52866666666667,12.22,199.666666666667,1599.46666666667,0,101.4,23.7,0.823,1,-0.22,2.74,1,0,0.16,111115,15
"10",0,45719.2666666667,NA,NA,NA,8,2440.9,0,6.66933333333333,0.118133333333333,280.8,1.03,0.906666666666667,10.5486666666667,6,1.42,1,2.84,3.78,10.5486666666667,0.63,400.101333333333,378.894,0.601933333333333,3.68066666666667,7.562,46.2333333333333,199.706666666667,1600,0,101,17.2,0.515,1,-0.22,2.74,1,0,0.16,111115,15
"10",5,46404.3333333333,NA,NA,NA,23,3125.96666666667,0,7.326,0.129466666666667,277.333333333333,1.30266666666667,1.052,13.0706666666667,6,1.42,1,2.84,7.38,13.0706666666667,4.95,400.344,376.856666666667,0.6152,4.5168,6.01866666666667,44.1886666666667,199.733333333333,1600.46666666667,0,101,17.2,0.544,1,-0.22,2.74,1,0,0.16,111115,15
"10",10,47082.3333333333,NA,NA,NA,38,3803.56666666667,0,8.034,0.144,275,1.74066666666667,1.27,16.2833333333333,6,1.42,1,2.84,11.734,16.2833333333333,10.03,400.475333333333,374.382666666667,0.620933333333333,5.828,4.53466666666667,42.5526666666667,199.72,1600,0,101,17.4,0.593,1,-0.22,2.74,1,0,0.16,111115,15
"10",15,47695.6666666667,NA,NA,NA,53,4417.33333333333,0,8.67533333333333,0.159,273,2.28333333333333,1.51,19.3926666666667,6,1.42,1,2.84,16.19,19.3926666666667,15.0953333333333,400.714,372.094666666667,0.627533333333333,7.44033333333333,3.43066666666667,40.6793333333333,199.7,1599,0,101,17.6,0.635,1,-0.22,2.74,1,0,0.16,111115,15
"10",20,48340.2,NA,NA,NA,68,5062.3,0,9.15066666666667,0.1704,270.666666666667,2.88,1.78,22.3486666666667,6,1.42,1,2.84,20.4413333333333,22.3486666666667,19.97,400.802666666667,370.108666666667,0.635466666666667,9.21826666666667,2.66133333333333,38.6106666666667,199.733333333333,1599,0,101,17.9,0.678,1,-0.22,2.74,1,0,0.16,111115,15
